"num_responses","xpath"
70,"GetRecordByIdResponse/MD_Metadata/identificationInfo/MD_DataIdentification/descriptiveKeywords/MD_Keywords/type/MD_KeywordTypeCode"
70,"MI_Metadata/identificationInfo/MD_DataIdentification/aggregationInfo/MD_AggregateInformation/aggregateDataSetName/CI_Citation/date/CI_Date/dateType/CI_DateTypeCode"
69,"MI_Metadata/identificationInfo/SV_ServiceIdentification/descriptiveKeywords/MD_Keywords/type/MD_KeywordTypeCode"
69,"MI_Metadata/dataQualityInfo/DQ_DataQuality/lineage/LI_Lineage/source/LI_Source/sourceCitation/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/contactInfo/CI_Contact/onlineResource/CI_OnlineResource/function/CI_OnLineFunctionCode"
68,"MI_Metadata/dataQualityInfo/DQ_DataQuality/lineage/LI_Lineage/processStep/LI_ProcessStep/processor/CI_ResponsibleParty/role/CI_RoleCode"
64,"MD_Metadata/identificationInfo/SV_ServiceIdentification/resourceConstraints/MD_LegalConstraints/accessConstraints/MD_RestrictionCode"
62,"MD_Metadata/identificationInfo/SV_ServiceIdentification/pointOfContact/CI_ResponsibleParty/role/CI_RoleCode"
62,"MI_Metadata/identificationInfo/MD_DataIdentification/spatialRepresentationType/MD_SpatialRepresentationTypeCode"
59,"MD_Metadata/identificationInfo/SV_ServiceIdentification/descriptiveKeywords/MD_Keywords/thesaurusName/CI_Citation/date/CI_Date/dateType/CI_DateTypeCode"
54,"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/operation/MI_Operation/status/MD_ProgressCode"
49,"MD_Metadata/metadataMaintenance/MD_MaintenanceInformation/maintenanceAndUpdateFrequency/MD_MaintenanceFrequencyCode"
48,"MD_Metadata/spatialRepresentationInfo/MD_VectorSpatialRepresentation/geometricObjects/MD_GeometricObjects/geometricObjectType/MD_GeometricObjectTypeCode"
47,"MD_Metadata/identificationInfo/MD_DataIdentification/language/LanguageCode"
46,"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/instrument/MI_Instrument/citation/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/role/CI_RoleCode"
42,"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/platform/MI_Platform/sponsor/CI_ResponsibleParty/role/CI_RoleCode"
39,"MI_Metadata/dataQualityInfo/DQ_DataQuality/lineage/LI_Lineage/source/LE_Source/sourceCitation/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/role/CI_RoleCode"
38,"MD_Metadata/identificationInfo/MD_DataIdentification/resourceSpecificUsage/MD_Usage/userContactInfo/CI_ResponsibleParty/role/CI_RoleCode"
36,"MD_Metadata/contentInfo/MD_ImageDescription/contentType/MD_CoverageContentTypeCode"
34,"MI_Metadata/acquisitionInformation/MI_AcquisitionInformation/instrument/MI_Instrument/citation/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/contactInfo/CI_Contact/onlineResource/CI_OnlineResource/function/CI_OnLineFunctionCode"
30,"MI_Metadata/spatialRepresentationInfo/MD_VectorSpatialRepresentation/geometricObjects/MD_GeometricObjects/geometricObjectType/MD_GeometricObjectTypeCode"
