"response_id","age","protocol","num_nondigital","num_offline","num_online"
157095,"2015-01-01","ISO",0,0,2
157113,"","ISO",0,0,1
157173,"2010-01-01","FGDC",0,0,0
157229,"2011-01-01","FGDC",0,0,0
157266,"","ISO",0,0,4
157268,"2008-01-01","FGDC",0,1,0
157339,"2011-01-01","ISO",0,0,1
157411,"2015-01-01","FGDC",0,0,37
157563,"2012-01-01","FGDC",0,0,3
157571,"2011-01-01","FGDC",0,1,0
157648,"2012-01-01","FGDC",0,0,0
157749,"2015-01-01","ISO",0,0,2
157868,"2015-01-01","FGDC",0,0,0
157869,"2008-01-01","FGDC",0,1,0
157894,"2014-01-01","FGDC",0,0,0
157992,"2014-01-01","FGDC",0,0,11
158008,"2014-01-01","FGDC",0,0,3
158083,"2007-01-01","FGDC",0,0,1
158117,"2015-01-01","FGDC",0,0,0
158142,"2012-01-01","FGDC",0,0,0
158228,"2011-01-01","ISO",0,0,0
158245,"2012-01-01","FGDC",0,0,0
158489,"2012-01-01","ISO",0,0,1
158521,"","ISO",0,0,3
158616,"2012-01-01","ISO",0,0,0
158642,"2012-01-01","FGDC",0,0,0
158663,"2015-01-01","FGDC",0,0,0
158730,"2010-01-01","FGDC",0,2,1
158745,"2014-01-01","FGDC",0,1,1
158819,"2003-01-01","FGDC",0,0,0
158823,"2014-01-01","ISO",0,0,0
158829,"2008-01-01","FGDC",0,0,4
158831,"2015-01-01","ISO",0,0,2
158948,"2012-01-01","FGDC",0,0,0
158952,"1985-01-01","FGDC",0,0,3
158971,"2011-01-01","FGDC",0,0,3
159000,"2014-01-01","FGDC",0,1,2
159004,"2011-01-01","FGDC",0,0,3
159088,"2015-01-01","FGDC",0,0,0
159148,"2013-01-01","FGDC",0,0,0
159164,"2013-01-01","FGDC",0,0,3
159183,"2015-01-01","FGDC",0,0,0
159314,"2015-01-01","FGDC",0,0,0
159335,"2015-01-01","ISO",0,0,2
159465,"2015-01-01","ISO",0,0,2
159495,"2015-01-01","FGDC",0,0,37
159511,"2003-01-01","ISO",0,0,3
159512,"2012-01-01","ISO",0,0,0
159583,"","ISO",0,0,2
159627,"2011-01-01","FGDC",0,0,0
159826,"2011-01-01","FGDC",0,0,0
159884,"2009-01-01","FGDC",0,0,0
159896,"2011-01-01","FGDC",0,0,0
159909,"2008-01-01","FGDC",0,1,1
159925,"2015-01-01","ISO",0,0,2
160083,"","ISO",0,0,2
160088,"2012-01-01","ISO",0,0,1
160093,"2014-01-01","ISO",0,0,5
160171,"2015-01-01","ISO",0,0,2
160222,"2010-01-01","FGDC",0,0,0
160228,"","ISO",0,0,2
160251,"2011-01-01","FGDC",0,0,0
160276,"2006-01-01","FGDC",0,0,1
160301,"","ISO",0,0,1
160305,"","ISO",0,0,0
160468,"2014-01-01","ISO",0,0,1
160469,"2015-01-01","FGDC",0,0,37
160494,"","ISO",0,0,0
160592,"","ISO",0,0,1
160604,"2014-01-01","ISO",0,0,10
160635,"2013-01-01","FGDC",0,0,1
160759,"2014-01-01","FGDC",0,0,0
