"tag","match_type","avg_ids"
"MD_Metadata/identificationInfo/MD_DataIdentification/abstract/CharacterString","doi",1.00
"MD_Metadata/identificationInfo/MD_DataIdentification/abstract/CharacterString","md5",1.00
"MD_Metadata/identificationInfo/MD_DataIdentification/abstract/CharacterString","urn",1.00
"MD_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/contactInfo/CI_Contact/onlineResource/CI_OnlineResource/linkage/URL","uuid",1.00
"MD_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/edition/CharacterString","uuid",1.00
"MD_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/identifier/MD_Identifier/authority/CI_Citation/date/CI_Date/date/Date","text",1.00
"MD_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/identifier/MD_Identifier/authority/CI_Citation/date/CI_Date/dateType/CI_DateTypeCode","text",1.00
"MD_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/identifier/MD_Identifier/authority/CI_Citation/title/CharacterString","text",1.00
"MD_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/identifier/MD_Identifier/authority/@title","text",1.00
"MD_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/identifier/MD_Identifier/code/CharacterString","uuid",1.00
"MD_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/identifier/MD_Identifier/code/CharacterString","text",1.00
"MD_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/identifier/MD_Identifier/code/FileName/@src","text",1.00
"MD_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/identifier/MD_Identifier/@id","text",1.00
"MD_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/identifier/RS_Identifier/authority/CI_Citation/date/CI_Date/date/Date","text",1.00
"MD_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/identifier/RS_Identifier/authority/CI_Citation/date/CI_Date/dateType/CI_DateTypeCode","text",1.00
"MD_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/identifier/RS_Identifier/authority/CI_Citation/title/CharacterString","text",1.00
"MD_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/identifier/RS_Identifier/code/CharacterString","text",1.07
"MD_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/identifier/RS_Identifier/code/CharacterString","uuid",1.00
"MD_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/identifier/RS_Identifier/code/CharacterString","doi",1.00
"MD_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/identifier/RS_Identifier/codeSpace/CharacterString","text",1.05
"MD_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/identifier/RS_Identifier/version/CharacterString","text",1.00
"MD_Metadata/identificationInfo/MD_DataIdentification/citation/identifier/RS_Identifier/code/CharacterString","text",1.00
"MD_Metadata/identificationInfo/MD_DataIdentification/descriptiveKeywords/MD_Keywords/keyword/CharacterString","urn",1.24
"MD_Metadata/identificationInfo/MD_DataIdentification/descriptiveKeywords/MD_Keywords/keyword/CharacterString","doi",1.00
"MD_Metadata/identificationInfo/MD_DataIdentification/descriptiveKeywords/MD_Keywords/thesaurusName/CI_Citation/identifier/MD_Identifier/code/Anchor","text",1.02
"MD_Metadata/identificationInfo/MD_DataIdentification/descriptiveKeywords/MD_Keywords/thesaurusName/@href","cooluri",1.00
"MD_Metadata/identificationInfo/MD_DataIdentification/descriptiveKeywords/MD_Keywords/thesaurusName/@uuidref","uuid",1.00
"MD_Metadata/identificationInfo/MD_DataIdentification/extent/EX_Extent/temporalElement/EX_TemporalExtent/extent/TimePeriod/@id","uuid",1.00
"MD_Metadata/identificationInfo/MD_DataIdentification/graphicOverview/MD_BrowseGraphic/fileName/CharacterString","uuid",1.00
"MD_Metadata/identificationInfo/MD_DataIdentification/resourceConstraints/MD_LegalConstraints/otherConstraints/CharacterString","doi",1.00
