"host","num_identified_by_protocol","protocol","total_for_host"
"dataserver.nccs.nasa.gov",155,"""UNIDATA""",2761
"dataserver.nccs.nasa.gov",6,"""OGC""",2761
"data.theeuropeanlibrary.org",26,"""OAI-PMH""",42
"data.ulm.de",46,"""ISO""",46
"data.usgs.gov",877,"""FGDC""",1112
"data.wien.gv.at",4,"""OGC""",48
"dataxfer.stanford.edu",4,"""ISO""",9
"dataxfer.stanford.edu",5,"""FGDC""",9
"dcsu059g9fk65.cloudfront.net",5,"""ISO""",5
"demo.mapserver.org",5,"""OGC""",50
"demo.pycsw.org",18,"""OGC""",4
"digitalarchive.wm.edu",7,"""OAI-PMH""",17
"digital.library.upenn.edu",1,"""OAI-PMH""",2
"disc1.sci.gsfc.nasa.gov",6,"""OGC""",9
"disc2.nascom.nasa.gov",4323,"""UNIDATA""",23368
"disc2.nascom.nasa.gov",235,"""OPeNDAP""",23368
"discnrt1.gesdisc.eosdis.nasa.gov",25,"""UNIDATA""",31
"discomap.eea.europa.eu",16,"""OGC""",132
"discomap.eea.europa.eu",1,"""ISO""",132
"dnrmaps.wi.gov",13,"""OGC""",74
"docserv.uni-duesseldorf.de",1,"""OAI-PMH""",2
"docs.lib.noaa.gov",2,"""ISO""",169
"docs.lib.noaa.gov",3,"""FGDC""",169
"donnees.ec.gc.ca",5,"""ISO""",5
"dot.ca.gov",44,"""FGDC""",44
"drtc.isibang.ac.in",165,"""OAI-PMH""",277
"dspace.lboro.ac.uk",1,"""OAI-PMH""",4
"dspace.lib.cranfield.ac.uk",1,"""OAI-PMH""",6
"dspace.vsb.cz",3,"""OAI-PMH""",13
"dspace.zsr.wfu.edu",1,"""OAI-PMH""",2
"earthquake.usgs.gov",2850,"""FGDC""",13317
"earthserver.bgs.ac.uk",2,"""OGC""",2
"ebola-data.un.org",15,"""FGDC""",15
"ebolageonode.org",2,"""OGC""",2
"ebuw.uw.edu.pl",1,"""OAI-PMH""",7
"ecco2.jpl.nasa.gov",1085,"""UNIDATA""",1918
"ecco2.jpl.nasa.gov",10,"""FGDC""",1918
"ecco.jpl.nasa.gov",7,"""UNIDATA""",916
"ecco.jpl.nasa.gov",340,"""OGC""",916
"ecco.jpl.nasa.gov",147,"""ISO""",916
"ec.gc.ca",1,"""OGC""",399
"ec.gc.ca",374,"""FGDC""",399
"ecowatch.ncddc.noaa.gov",1,"""UNIDATA""",202
"ecowatch.ncddc.noaa.gov",76,"""ISO""",202
"ecowatch.ncddc.noaa.gov",76,"""FGDC""",202
"edcftp.cr.usgs.gov",14,"""FGDC""",55
"edgar.jrc.ec.europa.eu",2,"""ISO""",2
"edg.epa.gov",67,"""ISO""",269
"edg.epa.gov",132,"""FGDC""",269
"eerscmap.usgs.gov",4,"""OGC""",20
"egis.hud.gov",6,"""OGC""",66
"egisws02.nos.noaa.gov",46,"""OGC""",122
"ejournals.bc.edu",4,"""OAI-PMH""",14
"encdirect.noaa.gov",22,"""OGC""",463
"enviroatlas.epa.gov",2,"""FGDC""",224
"epa.gov",1,"""ISO""",9
"epa.gov",3,"""FGDC""",9
"esrl.noaa.gov",31,"""UNIDATA""",1603
"esrl.noaa.gov",5,"""OGC""",1603
"eusoils.jrc.ec.europa.eu",1,"""OGC""",14
"eusoils.jrc.ec.europa.eu",2,"""FGDC""",14
"fcelter.fiu.edu",6,"""FGDC""",6
"fce.lternet.edu",4,"""FGDC""",4
"ferret.pmel.noaa.gov",44,"""UNIDATA""",2151
"ferret.pmel.noaa.gov",584,"""OGC""",2151
"ferret.pmel.noaa.gov",16,"""ISO""",2151
"fhdd.opus.hbz-nrw.de",3,"""OAI-PMH""",16
"fhdo.opus.hbz-nrw.de",10,"""OAI-PMH""",20
"floodobservatory.colorado.edu",4,"""FGDC""",6
"foreverdata.org",7,"""FGDC""",13
"frap.cdf.ca.gov",10,"""FGDC""",11
"frap.fire.ca.gov",13,"""FGDC""",14
"gar.lternet.edu",20,"""ISO""",49
"geb.uni-giessen.de",4,"""OAI-PMH""",21
"geo.azmag.gov",15,"""OGC""",96
"geo.azmag.gov",10,"""FGDC""",96
"geobrain.laits.gmu.edu",7,"""OGC""",11
"geocapa.viacapa.fr",2,"""OGC""",2
"geodata.epa.gov",17,"""OGC""",179
"geodata.npolar.no",19,"""OGC""",68
"geology.usgs.gov",2,"""FGDC""",3
"geonames.nga.mil",2,"""OGC""",2
"geonetwork4.fao.org",2,"""OGC""",51
"geonexusr.iowadot.gov",21,"""OGC""",161
"geo-nsdi.er.usgs.gov",9,"""FGDC""",10
"geoportal-geoportail.gc.ca",8,"""OGC""",16
"geoportal.utc.edu",25,"""FGDC""",48
"geoport.whoi.edu",8,"""OGC""",172
"geoport.whoi.edu",112,"""ISO""",172
"geo.prgap.org",6,"""OGC""",4
"geo.stat.fi",11,"""OGC""",8
"geo.sv.rostock.de",3,"""OGC""",189
"geothermal.isgs.illinois.edu",150,"""OGC""",204
"geothermal.smu.edu",3,"""OGC""",2
"ghrc.nsstc.nasa.gov",37,"""UNIDATA""",631
"gis1.usgs.gov",37,"""OGC""",840
"gis2.metc.state.mn.us",31,"""OGC""",33
"gis.apfo.usda.gov",1,"""FGDC""",52
"gis.breconbeacons.org",3,"""OGC""",7
"gis.breconbeacons.org",4,"""ISO""",7
"gis.ccom.unh.edu",3,"""OGC""",9
"gis.cdatribe-nsn.gov",2,"""OGC""",28
"gis.charttools.noaa.gov",4,"""OGC""",23
"gis.chesapeakebay.net",12,"""OGC""",92
"gisdata.nd.gov",1,"""ISO""",2934
"gisdata.nd.gov",2066,"""FGDC""",2934
"gis.ers.usda.gov",2,"""OGC""",68
"gis.fema.gov",2,"""OGC""",9
"gis.fema.gov",3,"""FGDC""",9
"gis.fws.gov",4,"""OGC""",27
"gis.indiana.edu",6,"""OGC""",12
"gisinfo.co.walworth.wi.us",4,"""OGC""",32
"gisinventory.net",81,"""FGDC""",81
"gismaps.vita.virginia.gov",5,"""OGC""",9
"gis.ngdc.noaa.gov",2,"""OGC""",29
"gis.ohiodnr.gov",16,"""OGC""",116
"gis.outagamie.org",3,"""OGC""",190
"gis.phila.gov",5,"""OGC""",9
"gispub10.epa.gov",14,"""OGC""",129
"gispub.epa.gov",59,"""OGC""",253
"gisservice.mt.gov",1,"""OGC""",40
"gis.srh.noaa.gov",36,"""OGC""",83
"gistmaps.itos.uga.edu",9,"""OGC""",40
"gisweb.unr.edu",2,"""OGC""",32
"gis.wgnhs.org",10,"""OGC""",12
"gita.grainger.uiuc.edu",27,"""OAI-PMH""",188
"gmis.jrc.ec.europa.eu",2,"""OGC""",2
"gsdl.ewubd.edu",1,"""OAI-PMH""",2
"gsics.eumetsat.int",16,"""UNIDATA""",422
"gsics.eumetsat.int",10,"""ISO""",422
"gsics.nesdis.noaa.gov",1,"""UNIDATA""",15
"gstore.unm.edu",290,"""OGC""",1287
"gstore.unm.edu",673,"""ISO""",1287
"gstore.unm.edu",327,"""FGDC""",1287
"hdds.usgs.gov",9,"""OGC""",13
"hdsc.nws.noaa.gov",22,"""FGDC""",22
"hfrnet.ucsd.edu",1,"""OGC""",7
"hildok.bsz-bw.de",1,"""OAI-PMH""",2
"hrr.ul.hirosaki-u.ac.jp",7,"""OAI-PMH""",12
"hsip.geoplatform.gov",7,"""OGC""",16
"hup.sub.uni-hamburg.de",1,"""OAI-PMH""",2
"huveta.hu",2,"""OAI-PMH""",7
"ibdigital.uib.es",3,"""OAI-PMH""",8
"igskmncnvs526.cr.usgs.gov",3,"""OGC""",7
"ijmca.org",1,"""OAI-PMH""",3
"imagery.azmap.org",1,"""OGC""",4
"ingria.coas.oregonstate.edu",2,"""UNIDATA""",2
"inport.nmfs.noaa.gov",776,"""ISO""",5455
"inport.nmfs.noaa.gov",625,"""FGDC""",5455
"insideidaho.org",37,"""FGDC""",47
"inspire.halton.gov.uk",3,"""ISO""",4
"inspire.nationalparks.gov.uk",3,"""OGC""",3
"inspire.redcar-cleveland.gov.uk",2,"""OGC""",2
"inspire.wales.gov.uk",1,"""OGC""",2
"instaar.colorado.edu",6,"""FGDC""",7
"irmaservices.nps.gov",51,"""OGC""",148
"ir.u-gakugei.ac.jp",3,"""OAI-PMH""",6
"isgs.illinois.edu",70,"""FGDC""",80
"jmhs.cmsny.org",2,"""OAI-PMH""",3
"joinup.ec.europa.eu",2,"""OGC""",2451
"journal.embnet.org",2,"""OAI-PMH""",14
"journals.urfu.ru",2,"""OAI-PMH""",6
"kamome.lib.ynu.ac.jp",4,"""OAI-PMH""",14
"kars.ku.edu",39,"""OGC""",143
"kars.ku.edu",2,"""FGDC""",143
"kartat.lounaispaikka.fi",2,"""OGC""",2
"kgs.uky.edu",5,"""OGC""",88
"kola.opus.hbz-nrw.de",3,"""OAI-PMH""",6
"kortservice.vejle.dk",3,"""OGC""",2
"krex.k-state.edu",1,"""OAI-PMH""",26
"kygisserver.ky.gov",11,"""OGC""",66
"ladsweb.nascom.nasa.gov",1134,"""UNIDATA""",1990
"ladsweb.nascom.nasa.gov",45,"""OPeNDAP""",1990
"land.discomap.eea.europa.eu",16,"""OGC""",114
"lasigpublic.nerc-lancaster.ac.uk",5,"""OGC""",5
"lib.ueh.edu.vn",4,"""OAI-PMH""",8
"limaims.cr.usgs.gov",3,"""OGC""",3
"lirias.kuleuven.be",5,"""OAI-PMH""",10
"locationmde.data.gov.uk",181,"""ISO""",181
"lroc.sese.asu.edu",2,"""FGDC""",2
"map.arboretum.harvard.edu",1,"""OGC""",7
"map.bgs.ac.uk",3,"""OGC""",4
"map.demac.udel.edu",19,"""FGDC""",23
"mapgateway.snh.gov.uk",1,"""OGC""",4
"map.gsa.state.al.us",4,"""OGC""",31
"map.richmond.gov.uk",3,"""ISO""",3
"maps2.dcgis.dc.gov",17,"""OGC""",91
"maps.arvada.org",4,"""OGC""",35
"maps.bristol.gov.uk",1,"""OGC""",11
"maps.bristol.gov.uk",10,"""ISO""",11
"maps.carlisle.gov.uk",2,"""OGC""",4
"maps.cera.govt.nz",31,"""OGC""",119
"maps.ci.charlotte.nc.us",7,"""OGC""",129
"maps.derby.gov.uk",7,"""ISO""",7
"maps.devotes.eu",2,"""OGC""",20
"map.sdsu.edu",33,"""FGDC""",40
"maps.edc.uri.edu",34,"""OGC""",61
"mapserver.kansasgis.org",8,"""OGC""",44
"mapserver.ngdc.noaa.gov",5,"""OGC""",3
"maps.indiana.edu",40,"""FGDC""",41
"maps.ngdc.noaa.gov",81,"""OGC""",283
"maps.norfolk.gov.uk",19,"""ISO""",19
"maps.pitkincounty.com",3,"""FGDC""",3
"maps-svcs.mit.edu",1,"""OGC""",4
"maps.tnc.org",5,"""FGDC""",5
"maps.york.gov.uk",9,"""OGC""",30
"maritimeboundaries.noaa.gov",7,"""OGC""",209
"mcm.lternet.edu",76,"""ISO""",231
"megara.tamu.edu",2,"""OGC""",5
"mercury.ornl.gov",69,"""OAI-PMH""",106
"metadata.lumcon.edu",26,"""FGDC""",26
"meta.geo.census.gov",1727,"""ISO""",1928
"meta.geo.census.gov",48,"""FGDC""",1928
"mgs.geology.wmich.edu",10,"""OGC""",19
"michigan.glin.net",3,"""OGC""",6
"miles-gis-sandbox.northwestknowledge.net",1,"""OGC""",40
"minerals.usgs.gov",12,"""FGDC""",12
"mms.gina.alaska.edu",5,"""FGDC""",5
"modwebsrv.modaps.eosdis.nasa.gov",7,"""OGC""",30
"moimagery.missouri.edu",10,"""OGC""",50
"mrdata.usgs.gov",307,"""OGC""",1176
"mrdata.usgs.gov",23,"""ISO""",1176
"mrdata.usgs.gov",618,"""FGDC""",1176
"mrujs.mtroyal.ca",5,"""OAI-PMH""",17
"msdisweb.missouri.edu",5,"""OGC""",54
"mslapps.mt.gov",195,"""FGDC""",202
"mynasadata.larc.nasa.gov",5,"""UNIDATA""",42
"mysymposia.org",1,"""OAI-PMH""",2
"naca.central.cranfield.ac.uk",1,"""OAI-PMH""",2
"nadp.isws.illinois.edu",1,"""FGDC""",4
"nc.water.usgs.gov",10,"""FGDC""",10
"ndgishub.nd.gov",12,"""OGC""",6
"neptune.nceas.ucsb.edu",19,"""FGDC""",19
"ngamaps.geointapps.org",4,"""OGC""",18
"ngdc.noaa.gov",2,"""ISO""",23
"ngdc.noaa.gov",2,"""FGDC""",23
"ngmdb.usgs.gov",101,"""FGDC""",103
"ngs.woc.noaa.gov",4,"""OGC""",20569
"noise.discomap.eea.europa.eu",1,"""OGC""",38
"nosdataexplorer.noaa.gov",1,"""FGDC""",2
"nowcoast.noaa.gov",6,"""OGC""",16
"nrdata.nps.gov",219,"""FGDC""",220
"nsidc.org",47,"""OAI-PMH""",133
"nsidc.org",2,"""FGDC""",133
"nvo.stsci.edu",1,"""OAI-PMH""",8
"oai.datacite.org",38,"""OAI-PMH""",61
"oai.dlib.indiana.edu",1,"""OAI-PMH""",2
"oai.dtic.mil",1,"""OAI-PMH""",2
"oai.narcis.nl",600,"""OAI-PMH""",901
"oceandata.sci.gsfc.nasa.gov",3,"""UNIDATA""",373
"oceanwatch.pfeg.noaa.gov",1,"""UNIDATA""",15
"ogc.gina.alaska.edu",4,"""OGC""",4
"olga.er.usgs.gov",5,"""FGDC""",5
"oos.soest.hawaii.edu",1,"""UNIDATA""",675
"oos.soest.hawaii.edu",3,"""OGC""",675
"oos.soest.hawaii.edu",328,"""ISO""",675
"oos.soest.hawaii.edu",250,"""FGDC""",675
"opendap.cr.usgs.gov",233,"""UNIDATA""",666
"opendap.cr.usgs.gov",4,"""OPeNDAP""",666
"opendatacatalog.ashevillenc.gov",6,"""FGDC""",6
"opendata.euskadi.eus",677,"""ISO""",11977
"opendataserver.ashevillenc.gov",2,"""OGC""",2
"opendata.thessaloniki.gr",6,"""ISO""",9
"openknowledge.worldbank.org",32,"""OAI-PMH""",46
"opentopo.sdsc.edu",9,"""ISO""",9
"open.uct.ac.za",10,"""OAI-PMH""",40
"or.water.usgs.gov",3,"""FGDC""",6
"osmc.noaa.gov",4,"""OGC""",64
"osmc.noaa.gov",27,"""ISO""",64
"osmc.noaa.gov",27,"""FGDC""",64
"pacioos-mapserver2.ancl.hawaii.edu",13,"""ISO""",34
"pacioos-mapserver2.ancl.hawaii.edu",11,"""FGDC""",34
"portal.ina-sdi.or.id",1,"""OGC""",12
"portal.oceannet.org",104,"""ISO""",319
"profiles.nlm.nih.gov.libproxy.lib.unc.edu",1,"""OAI-PMH""",1188
"programs.iowadnr.gov",4,"""OGC""",34
"programs.iowadnr.gov",1,"""FGDC""",34
"psydok.sulb.uni-saarland.de",7,"""OAI-PMH""",19
"pub.academos.ro",2,"""OAI-PMH""",6
"pubs.usgs.gov",2778,"""FGDC""",2809
"pub.uni-bielefeld.de",2,"""OAI-PMH""",3
"quashnet.er.usgs.gov",1,"""FGDC""",402
"raster.nationalmap.gov",7,"""OGC""",76
"redbuttecreek.utah.edu",21,"""FGDC""",22
"repo.lib.semmelweis.hu",1,"""OAI-PMH""",6
"repository.abertay.ac.uk",1,"""OAI-PMH""",3
"repository.eafit.edu.co",1,"""OAI-PMH""",3
"repository.ibss.org.ua",5,"""OAI-PMH""",23
"repository.si.edu",1,"""FGDC""",4
"repository.stategeothermaldata.org",1,"""OGC""",3056
"repository.stategeothermaldata.org",2343,"""ISO""",3056
"repository.stategeothermaldata.org",3,"""FGDC""",3056
"resource.sgu.se",23,"""OGC""",23
"revue.umc.edu.dz",3,"""OAI-PMH""",11
"rmgsc.cr.usgs.gov",3,"""OGC""",6234
"rmgsc.cr.usgs.gov",1071,"""FGDC""",6234
"rsg.pml.ac.uk",9,"""OGC""",46
"rsg.pml.ac.uk",6,"""ISO""",46
"rua.ua.es",1,"""OAI-PMH""",2
"rusc.uoc.edu",7,"""OAI-PMH""",28
"sampleserver1.arcgisonline.com",1,"""OGC""",14
"sccoos-obs0.ucsd.edu",4,"""OGC""",4
"schemas.opengis.net",1,"""OGC""",11
"scidok.sulb.uni-saarland.de",8,"""OAI-PMH""",19
"science.nature.nps.gov",1,"""FGDC""",4
"sdmdataaccess.nrcs.usda.gov",2,"""OGC""",5
"sdms.ak.blm.gov",6,"""FGDC""",6
"seakgis03.alaska.edu",78,"""FGDC""",86
"seamlessrnc.nauticalcharts.noaa.gov",1,"""OGC""",93
"sedac.ciesin.columbia.edu",3,"""FGDC""",5
"sedac.ciesin.org",8,"""OGC""",5
"sedsh127.sedsh.gov.uk",4,"""OGC""",4
"sero.nmfs.noaa.gov",32,"""ISO""",41
"sero.nmfs.noaa.gov",9,"""FGDC""",41
"services.aad.gov.au",2,"""OGC""",2
"services.azgs.az.gov",155,"""OGC""",211
"services.geocirrus.co.nz",45,"""OGC""",149
"services.geog.ksu.edu",4,"""OGC""",19
"services.kgs.ku.edu",3,"""OGC""",15
"services.nationalmap.gov",20,"""OGC""",43
"services.nconemap.gov",1,"""FGDC""",12
"services.sandre.eaufrance.fr",12,"""OGC""",7
"services.wvgis.wvu.edu",16,"""OGC""",87
"sflwww.er.usgs.gov",23,"""FGDC""",29
"sg.geodatenzentrum.de",8,"""OGC""",6
"shareok.org",3,"""OAI-PMH""",10
"silvis.forest.wisc.edu",3,"""FGDC""",3
"sites-test.uclouvain.be",3,"""OAI-PMH""",3
"sofia.er.usgs.gov",9,"""FGDC""",13
"sofia.usgs.gov",225,"""FGDC""",291
"srfs.wr.usgs.gov",2,"""OGC""",7
"static.data.gouv.fr",14,"""OAI-PMH""",26
"stellwagen.er.usgs.gov",25,"""UNIDATA""",838
"stellwagen.er.usgs.gov",220,"""OGC""",838
"stellwagen.er.usgs.gov",109,"""ISO""",838
"storms.ngs.noaa.gov",5,"""OGC""",11723
"stuff.mit.edu",3,"""FGDC""",136
"tabs2.gerg.tamu.edu",2,"""OGC""",2
"taskman.eionet.europa.eu",1,"""OGC""",120
"taskman.eionet.europa.eu",2,"""ISO""",120
"tds.glos.us",2,"""OGC""",11
"tds.glos.us",4,"""ISO""",11
"tds.ucar.edu",1340,"""UNIDATA""",2103
"texashistory.unt.edu",4,"""OAI-PMH""",186
"thredds.cdip.ucsd.edu",4,"""UNIDATA""",28
"tigerweb.geo.census.gov",29,"""OGC""",76
"tlp.law.pitt.edu",1,"""OAI-PMH""",2
"tnmap.tn.gov",5,"""OGC""",22
"topotools.cr.usgs.gov",2,"""FGDC""",2
"tpwd.texas.gov",6,"""OGC""",28
"ubt.opus.hbz-nrw.de",4,"""OAI-PMH""",14
"upwell.pfeg.noaa.gov",119,"""ISO""",261
"upwell.pfeg.noaa.gov",124,"""FGDC""",261
"verif.rap.ucar.edu",37,"""UNIDATA""",73
"viewer.soton.ac.uk",155,"""OAI-PMH""",289
"vislab-ccom.unh.edu",1,"""ISO""",5
"w4.jcommops.org",6,"""OGC""",6
"walrus.wr.usgs.gov",238,"""FGDC""",9855
"water.discomap.eea.europa.eu",8,"""OGC""",88
"water.usgs.gov",563,"""FGDC""",573
"water.weather.gov",3,"""FGDC""",37
"web2.nbmg.unr.edu",71,"""OGC""",156
"webarchive.nationalarchives.gov.uk",26,"""OGC""",1017
"webarchive.nationalarchives.gov.uk",137,"""ISO""",1017
"webgis.uwm.edu",2,"""OGC""",31
"webqa.coast.noaa.gov",62,"""OGC""",175
"webservices.nationalatlas.gov",7,"""OGC""",6
"web.vims.edu",4,"""FGDC""",12
"wildfire.cr.usgs.gov",6,"""OGC""",28
"wis.wmo.int",23,"""ISO""",26
"woodshole.er.usgs.gov",520,"""FGDC""",524
"wrecks.nauticalcharts.noaa.gov",5,"""OGC""",163
"ws02.iula.upf.edu",1,"""OAI-PMH""",7
"www1.ncdc.noaa.gov",1,"""ISO""",6
"www1.usgs.gov",2,"""ISO""",613
"www1.usgs.gov",2,"""FGDC""",613
"www2.census.gov",2,"""FGDC""",2
"www2.geog.ucl.ac.uk",2,"""FGDC""",2
"www.ace-eco.org",3,"""OAI-PMH""",11
"www.admiralty.co.uk",28,"""ISO""",28
"www.aeic.alaska.edu",96,"""FGDC""",269
"www.agr.gc.ca",11,"""OGC""",16
"www.aml-cfwb.be",1,"""OAI-PMH""",3
"www.aoncadis.org",31,"""ISO""",64
"www.bco-dmo.org",1,"""ISO""",30
"www.beacons-npa.gov.uk",2,"""ISO""",2
"www.charts.noaa.gov",430,"""ISO""",430
"www.cisn.org",15,"""FGDC""",30
"www.coast.noaa.gov",185,"""OGC""",434
"www.cob.org",92,"""FGDC""",92
"www.coris.noaa.gov",263,"""ISO""",1544
"www.coris.noaa.gov",425,"""FGDC""",1544
"www.cormp.org",2,"""FGDC""",3
"www.crossref.org",1,"""OAI-PMH""",8
"www.csc.noaa.gov",6,"""OGC""",49
"www.csc.noaa.gov",5,"""FGDC""",49
"www.cteco.uconn.edu",65,"""FGDC""",65
"www.data.gouv.fr",2,"""ISO""",128
"www.datalocale.fr",1,"""ISO""",7
"www.datanorthyorkshire.org",1,"""ISO""",41
"www.dgif.virginia.gov",10,"""FGDC""",10
"www.dlese.org",3,"""OAI-PMH""",59
"www.dlib.org",3,"""OAI-PMH""",78
"www.earthsystemgrid.org",93,"""ISO""",273
"www.econstor.eu",2,"""OAI-PMH""",5
"www.edc.uri.edu",15,"""FGDC""",15
"www.eea.europa.eu",20,"""ISO""",714
"www.ehib.org",1,"""FGDC""",17
"www.envirobase.usgs.gov",25,"""FGDC""",25
"www.epa.gov",1,"""ISO""",45
"www.epa.gov",31,"""FGDC""",45
"www.esrl.noaa.gov",37,"""UNIDATA""",4452
