"protocol","published","count_w_lineage","count_wo_lineage"
"""ISO""","2007-04-01",0,36
"""FGDC""","2007-05-01",73,5
"""ISO""","2007-05-01",0,22
"""FGDC""","2007-06-01",19,7
"""ISO""","2007-06-01",0,4
"""FGDC""","2007-07-01",86,7
"""ISO""","2007-07-01",0,2
"""FGDC""","2007-08-01",323,12
"""ISO""","2007-08-01",0,44
"""FGDC""","2007-09-01",74,2
"""ISO""","2007-09-01",0,15
"""FGDC""","2007-10-01",64,1
"""ISO""","2007-10-01",0,28
"""FGDC""","2007-11-01",60,2
"""ISO""","2007-11-01",0,13
"""FGDC""","2007-12-01",76,5
"""ISO""","2007-12-01",0,17
"""FGDC""","2008-01-01",70,1
"""ISO""","2008-01-01",0,40
"""FGDC""","2008-02-01",89,1
"""ISO""","2008-02-01",0,10
"""FGDC""","2008-03-01",166,1
"""ISO""","2008-03-01",0,14
"""FGDC""","2008-04-01",83,56
"""ISO""","2008-04-01",0,84
"""FGDC""","2008-05-01",46,6
"""ISO""","2008-05-01",0,17
"""FGDC""","2008-06-01",82,0
"""ISO""","2008-06-01",0,25
"""FGDC""","2008-07-01",186,9
"""ISO""","2008-07-01",0,34
"""FGDC""","2008-08-01",308,5
"""ISO""","2008-08-01",0,12
"""FGDC""","2008-09-01",152,0
"""ISO""","2008-09-01",0,26
"""FGDC""","2008-10-01",129,47
"""ISO""","2008-10-01",0,13
"""FGDC""","2008-11-01",61,1
"""ISO""","2008-11-01",0,14
"""FGDC""","2008-12-01",98,1
"""ISO""","2008-12-01",0,15
"""FGDC""","2009-01-01",95,3
"""ISO""","2009-01-01",0,23
"""FGDC""","2009-02-01",183,11
"""ISO""","2009-02-01",1,8
"""FGDC""","2009-03-01",67,3
"""ISO""","2009-03-01",0,37
"""FGDC""","2009-04-01",29,8
"""ISO""","2009-04-01",0,10
"""FGDC""","2009-05-01",134,13
"""ISO""","2009-05-01",0,56
"""FGDC""","2009-06-01",64,3
"""ISO""","2009-06-01",0,15
"""FGDC""","2009-07-01",59,4
"""ISO""","2009-07-01",4,19
"""FGDC""","2009-08-01",122,10
"""ISO""","2009-08-01",0,34
"""FGDC""","2009-09-01",69,3
"""ISO""","2009-09-01",0,37
"""FGDC""","2009-10-01",145,4
"""ISO""","2009-10-01",0,23
"""FGDC""","2009-11-01",61,10
"""ISO""","2009-11-01",0,18
"""FGDC""","2009-12-01",80,6
"""ISO""","2009-12-01",0,18
"""FGDC""","2010-01-01",63,9
"""ISO""","2010-01-01",0,34
"""FGDC""","2010-02-01",53,4
"""ISO""","2010-02-01",0,19
"""FGDC""","2010-03-01",65,7
"""ISO""","2010-03-01",0,21
"""FGDC""","2010-04-01",610,2
"""ISO""","2010-04-01",0,26
"""FGDC""","2010-05-01",95,1
"""ISO""","2010-05-01",0,17
"""FGDC""","2010-06-01",169,1
"""ISO""","2010-06-01",0,34
"""FGDC""","2010-07-01",100,10
"""ISO""","2010-07-01",0,24
"""FGDC""","2010-08-01",276,4
"""ISO""","2010-08-01",0,36
"""FGDC""","2010-09-01",118,0
"""ISO""","2010-09-01",0,34
"""FGDC""","2010-10-01",63,8
"""ISO""","2010-10-01",0,67
"""FGDC""","2010-11-01",77,9
"""ISO""","2010-11-01",0,16
"""FGDC""","2010-12-01",119,17
"""ISO""","2010-12-01",0,14
"""FGDC""","2011-01-01",308,5
"""ISO""","2011-01-01",0,17
"""FGDC""","2011-02-01",49,6
"""ISO""","2011-02-01",0,25
"""FGDC""","2011-03-01",74,4
"""ISO""","2011-03-01",0,57
"""FGDC""","2011-04-01",111,2
"""ISO""","2011-04-01",10,94
"""FGDC""","2011-05-01",155,3
"""ISO""","2011-05-01",0,20
"""FGDC""","2011-06-01",98,1
"""ISO""","2011-06-01",0,20
"""FGDC""","2011-07-01",848,14
"""ISO""","2011-07-01",0,14
"""FGDC""","2011-08-01",183,29
"""ISO""","2011-08-01",2,25
"""FGDC""","2011-09-01",214,15
"""ISO""","2011-09-01",0,22
"""FGDC""","2011-10-01",380,8
"""ISO""","2011-10-01",2,14
"""FGDC""","2011-11-01",87,1
"""ISO""","2011-11-01",0,24
"""FGDC""","2011-12-01",195,15
"""ISO""","2011-12-01",0,14
"""FGDC""","2012-01-01",187,4
"""ISO""","2012-01-01",0,26
"""FGDC""","2012-02-01",397,41
"""ISO""","2012-02-01",0,26
"""FGDC""","2012-03-01",191,11
"""ISO""","2012-03-01",0,47
"""FGDC""","2012-04-01",100,5
"""ISO""","2012-04-01",29,13
"""FGDC""","2012-05-01",65,3
"""ISO""","2012-05-01",3,29
"""FGDC""","2012-06-01",237,8
"""ISO""","2012-06-01",0,246
"""FGDC""","2012-07-01",114,13
"""ISO""","2012-07-01",0,17
"""FGDC""","2012-08-01",103,5
"""ISO""","2012-08-01",0,12
"""FGDC""","2012-09-01",52,1020
"""ISO""","2012-09-01",2,1020
"""FGDC""","2012-10-01",200,17
"""ISO""","2012-10-01",0,85
"""FGDC""","2012-11-01",124,12
"""ISO""","2012-11-01",0,37
"""FGDC""","2012-12-01",122,17
"""ISO""","2012-12-01",1,99
"""FGDC""","2013-01-01",98,10
"""ISO""","2013-01-01",1,26
"""FGDC""","2013-02-01",182,27
"""ISO""","2013-02-01",0,52
"""FGDC""","2013-03-01",128,9
"""ISO""","2013-03-01",0,63
"""FGDC""","2013-04-01",75,137
"""ISO""","2013-04-01",2,47
"""FGDC""","2013-05-01",72,9
"""ISO""","2013-05-01",0,39
"""FGDC""","2013-06-01",91,6
"""ISO""","2013-06-01",525,129
"""FGDC""","2013-07-01",56,23
"""ISO""","2013-07-01",0,50
"""FGDC""","2013-08-01",71,3
"""ISO""","2013-08-01",2,23
"""FGDC""","2013-09-01",89,4
"""ISO""","2013-09-01",0,26
