"host","num_identified_by_protocol","protocol","total_for_host"
"catalog.uwf.edu",1,"""OpenSearch""",1
"catalog.uwgb.edu",1,"""OpenSearch""",1
"catalog.uwgb.edu.",1,"""OpenSearch""",1
"catalog.uwlax.edu",1,"""OpenSearch""",1
"catalog.valenciacollege.edu",1,"""OpenSearch""",1
"catalog.wcupa.edu",1,"""OpenSearch""",1
"catalog.whitworth.edu",1,"""OpenSearch""",1
"catalog.wofford.edu",1,"""OpenSearch""",1
"catalog.wvu.edu",1,"""OpenSearch""",1
"catalog.yale.edu",1,"""OpenSearch""",1
"catalyst.library.jhu.edu",11,"""OpenSearch""",21
"catedra.ruv.itesm.mx",1,"""OAI-PMH""",4
"ca.water.usgs.gov",1,"""ISO""",3
"ca.water.usgs.gov",1,"""FGDC""",3
"cbcl.ics.uci.edu",1,"""OpenSearch""",1
"cbe.tamu.edu",1,"""OpenSearch""",1
"cca.rutgers.edu",4,"""OpenSearch""",4
"ccbs.uci.edu",2,"""OpenSearch""",2
"cci.case.edu",1,"""OpenSearch""",1
"ccom.unh.edu",27,"""FGDC""",160
"ccrc.tc.columbia.edu",48,"""OpenSearch""",48
"ccrm.vims.edu",1,"""FGDC""",3
"cdip.ucsd.edu",96,"""FGDC""",96
"cdph.data.ca.gov",1,"""OpenSearch""",1
"cdra.colostate.edu",1,"""OpenSearch""",1
"cdre.eu",1,"""OpenSearch""",1
"cdsp.edu",16,"""OpenSearch""",16
"ceeds-project.eu",1,"""OpenSearch""",1
"centermaryland.org",2,"""OpenSearch""",2
"ceos.org",1,"""OpenSearch""",1
"cercll.arizona.edu",1,"""OpenSearch""",1
"certmapper.cr.usgs.gov",1,"""OpenSearch""",66
"certmapper.cr.usgs.gov",22,"""OGC""",66
"cgi.csc.liv.ac.uk",1,"""OpenSearch""",1
"cgspace.cgiar.org",1,"""OpenSearch""",1
"chad.opendataforafrica.org",1,"""OpenSearch""",1
"characterclearinghouse.fsu.edu",1,"""OpenSearch""",1
"chem.colorado.edu",4,"""OpenSearch""",4
"chemdata.nist.gov",1,"""OpenSearch""",1
"chhs.data.ca.gov",1,"""OpenSearch""",1
"chroniclingamerica.loc.gov",2,"""OpenSearch""",2
"cibed.troy.edu",1,"""OpenSearch""",1
"ci.coastal.edu",1,"""OpenSearch""",1
"cida.usgs.gov",2,"""ISO""",12
"ciesin.columbia.edu",1,"""OpenSearch""",1
"cigl.spl.harvard.edu",1,"""OpenSearch""",1
"cilvr.nyu.edu",1,"""OpenSearch""",1
"circulatingnow.nlm.nih.gov",1,"""OpenSearch""",1
"cires.colorado.edu",2,"""OpenSearch""",2
"cirt.gcu.edu",1,"""OpenSearch""",1
"cis.usouthal.edu",1,"""OpenSearch""",1
"citaub.fbg.ub.edu",3,"""OpenSearch""",3
"citizenscienceassociation.org",1,"""OpenSearch""",1
"clarin.dk",1,"""OAI-PMH""",3
"clarin-pl.eu",1,"""OpenSearch""",92
"clarin-pl.eu",56,"""OAI-PMH""",92
"clas.rutgers.edu",1,"""OpenSearch""",1
"classics.rutgers.edu",1,"""OpenSearch""",1
"classics.uc.edu",3,"""OpenSearch""",5
"clear3.uconn.edu",2,"""OGC""",44
"clear.uconn.edu",5,"""FGDC""",5
"climate-adapt.eea.europa.eu",1,"""OpenSearch""",3
"climate-adapt.eea.europa.eu",1,"""ISO""",3
"climateaudit.org",1,"""OpenSearch""",1
"climate.calcommons.org",3,"""FGDC""",5
"climatecenter.fsu.edu",1,"""OpenSearch""",1
"climate.iarc.uaf.edu",1,"""OpenSearch""",1
"cloud.insideidaho.org",1,"""OGC""",97
"cloud.insideidaho.org",84,"""FGDC""",97
"cloud.sdsc.edu",3,"""FGDC""",11
"clsbluesky.law.columbia.edu",1,"""OpenSearch""",1
"cls.ucla.edu",2,"""OpenSearch""",2
"clusters.engineering.wustl.edu",1,"""OpenSearch""",1
"cmgds.marine.usgs.gov",2,"""FGDC""",2
"cms.aa.ufl.edu",1,"""OpenSearch""",1
"cms.ncas.ac.uk",1,"""OpenSearch""",1
"cnx.org",1,"""OpenSearch""",1
"coaps.fsu.edu",221,"""UNIDATA""",8182
"coaps.fsu.edu",3,"""OpenSearch""",8182
"coastal.er.usgs.gov",4,"""FGDC""",4
"coastalmap.marine.usgs.gov",31,"""OGC""",96
"coast.noaa.gov",191,"""OGC""",1772
"coast.noaa.gov",234,"""ISO""",1772
"coast.noaa.gov",1034,"""FGDC""",1772
"coastwatch.pfeg.noaa.gov",2,"""OpenSearch""",788
"coastwatch.pfeg.noaa.gov",333,"""ISO""",788
"coastwatch.pfeg.noaa.gov",325,"""FGDC""",788
"cocoon.huma-num.fr",4,"""OAI-PMH""",6
"code.env.duke.edu",1,"""OpenSearch""",1
"code.nicholas.duke.edu",1,"""OpenSearch""",1
"codex.wordpress.org",2,"""OpenSearch""",2
"coeducate.bolton.ac.uk",1,"""OpenSearch""",1
"coe.utep.edu",3,"""OpenSearch""",3
"cohesiondata.ec.europa.eu",1,"""OpenSearch""",12
"coins.lib.virginia.edu",1,"""OpenSearch""",8
"collaborate.hms.harvard.edu",1,"""OpenSearch""",1
"collaborate.spsu.edu",1,"""OpenSearch""",1
"collab.sam.pitt.edu",25,"""OpenSearch""",25
"collections.britishart.yale.edu",9,"""OAI-PMH""",19
"collections.nlm.nih.gov",40,"""OpenSearch""",41
"collections.nlm.nih.gov.libproxy.lib.unc.edu",1,"""OpenSearch""",19674
"collections.swco.ttu.edu",1,"""OpenSearch""",1
"collections.unu.edu",2,"""OpenSearch""",3
"collegecatalog.uchicago.edu",1,"""OpenSearch""",1
"colon-ramos.yale.edu",1,"""OpenSearch""",1
"columns.dcp.ufl.edu",1,"""OpenSearch""",1
"comcat.cr.usgs.gov",19,"""FGDC""",262
"comet2011.chem.ox.ac.uk",1,"""OpenSearch""",1
"co.mit.edu",1,"""OpenSearch""",1
"comkat.case.edu",1,"""OpenSearch""",1
"commons.gc.cuny.edu",2,"""OpenSearch""",3
"commons.lbl.gov",1,"""OpenSearch""",1
"commons.lib.niu.edu",3,"""OpenSearch""",8
"communitycolleges.wy.edu",4,"""OpenSearch""",4
"communityhealthmaps.nlm.nih.gov",1,"""OpenSearch""",1
"community.waldenu.edu",1,"""OpenSearch""",1
"comoros.opendataforafrica.org",1,"""OpenSearch""",1
"compgenomics2014.biology.gatech.edu",1,"""OpenSearch""",1
"complit.rutgers.edu",3,"""OpenSearch""",3
"comps.marine.usf.edu",2,"""OGC""",3
"conflictresolution.colostate.edu",1,"""OpenSearch""",1
"confluence.arizona.edu",1,"""OpenSearch""",1
"confluence.bowdoin.edu",1,"""OpenSearch""",1
"confluence.bucknell.edu",1,"""OpenSearch""",1
"confluence.crbs.ucsd.edu",1,"""OpenSearch""",1
"confluence.delhi.edu",1,"""OpenSearch""",1
"confluence.eits.uga.edu",1,"""OpenSearch""",1
"confluence.fhda.edu",1,"""OpenSearch""",1
"confluence.grid.iu.edu",1,"""OpenSearch""",1
"confluence.ict.usc.edu",1,"""OpenSearch""",1
"confluence.nau.edu",1,"""OpenSearch""",1
"confluence.neos.eu",1,"""OpenSearch""",1
"confluence.oceanobservatories.org",1,"""OpenSearch""",1
"confluence.ooi.rutgers.edu",1,"""OpenSearch""",1
"confluence.pegasus.isi.edu",1,"""OpenSearch""",22
"confluence.rowan.edu",1,"""OpenSearch""",1
"confluence.sakaiproject.org",1,"""OpenSearch""",1
"confluence.stsci.edu",1,"""OpenSearch""",1
"confluence.ucop.edu",1,"""OpenSearch""",1
"confluence.umd.edu",1,"""OpenSearch""",1
"confluence.unfccc.int",1,"""OpenSearch""",1
"confluence.uwf.edu",1,"""OpenSearch""",1
"congress.fortiuspamplonabayonne.eu",1,"""OpenSearch""",1
"connect.grok.lsu.edu",1,"""OpenSearch""",1
"conservancy.umn.edu",2,"""FGDC""",3
"contemporaneity.pitt.edu",1,"""OAI-PMH""",9
"content70.eol.org",1,"""OpenSearch""",1
"content7.eol.org",1,"""OpenSearch""",1
"content.eol.org",1,"""OpenSearch""",1
"controllerdata.lacity.org",1,"""OpenSearch""",1
"conversationtree.rutgers.edu",1,"""OpenSearch""",1
"cookbooks.opengrads.org",1,"""OpenSearch""",1
"coral.ie.lehigh.edu",5,"""OpenSearch""",5
"coral.uchicago.edu",1,"""OpenSearch""",1
"cordis.europa.eu",1,"""OpenSearch""",1126
"core.tdar.org",1,"""OpenSearch""",1
"cosmo.uchicago.edu",1,"""OpenSearch""",1
"cosw.sc.edu",4,"""OpenSearch""",4
"cotedivoire.opendataforafrica.org",1,"""OpenSearch""",1
"coursecast.soton.ac.uk",1,"""OpenSearch""",1
"coursecast.uakron.edu",1,"""OpenSearch""",1
"coursecast.unco.edu",1,"""OpenSearch""",1
"coursecatalog.tamuc.edu",1,"""OpenSearch""",1
"coursecatalog.web.cmu.edu",1,"""OpenSearch""",1
"coursecat.isu.edu",1,"""OpenSearch""",1
"coursedesign.uidaho.edu",1,"""OpenSearch""",1
"courseleaf.ua.edu",1,"""OpenSearch""",1
"course.mit.edu",1,"""OpenSearch""",1
"coworkingassembly.eu",1,"""OpenSearch""",1
"cps.cse.wustl.edu",1,"""OpenSearch""",1
"crack.seismo.unr.edu",10,"""ISO""",315
"create.ou.edu",1,"""OpenSearch""",1
"criminaljustice.rutgers.edu",2,"""OpenSearch""",2
"crisp.cs.du.edu",1,"""OpenSearch""",1
"crisp.southernct.edu",1,"""OpenSearch""",1
"criticalcaribbean.rutgers.edu",1,"""OpenSearch""",1
"crossettlibrary.dspacedirect.org",1,"""OpenSearch""",1
"crtp.capture.duke.edu",1,"""OpenSearch""",1
"cs4edu.cs.purdue.edu",1,"""OpenSearch""",1
"csdms.colorado.edu",1,"""OpenSearch""",1
"cs.gmu.edu",1,"""OpenSearch""",7
"csgsa.cs.umn.edu",1,"""OpenSearch""",1
"cso.caltech.edu",1,"""OpenSearch""",1
"csr.case.edu",1,"""OpenSearch""",1
"css.cul.columbia.edu",1,"""OpenSearch""",1
"csuchico-dspace.calstate.edu",1,"""OpenSearch""",4
"csueastbay-dspace.calstate.edu",1,"""OpenSearch""",1
"csugreeks.colostate.edu",1,"""OpenSearch""",1
"csusm-dspace.calstate.edu",2,"""OpenSearch""",2
"ctdbase.org",1,"""OpenSearch""",7
"cteco.uconn.edu",63,"""FGDC""",63
"cugirmetadata.mannlib.cornell.edu",114,"""FGDC""",115
"cultaproject.eu",2,"""OpenSearch""",2
"cultivate.coop",1,"""OpenSearch""",1
"cur.aa.ufl.edu",1,"""OpenSearch""",1
"cvc4.cs.nyu.edu",1,"""OpenSearch""",1
"cvc.edu",2,"""OpenSearch""",2
"cwcgom.aoml.noaa.gov",9,"""OGC""",12
"cwiki.apache.org",1,"""OpenSearch""",1
"cyber.law.harvard.edu",9,"""OpenSearch""",11
"cyrille.giquello.fr",1,"""OpenSearch""",1
"czso.opendata.cz",1,"""OpenSearch""",28
"d1opzmrrdjgef4.cloudfront.net",1,"""ISO""",1
"dadun.unav.edu",1,"""OpenSearch""",1
"damsl.cs.indiana.edu",1,"""OpenSearch""",1
"damssupport.bodleian.ox.ac.uk",1,"""OpenSearch""",1
"damssupport.ouls.ox.ac.uk",1,"""OpenSearch""",1
"dance.illinois.edu",16,"""OpenSearch""",16
"dance.uiuc.edu",4,"""OpenSearch""",4
"dap.cooper.edu",1,"""OpenSearch""",2
"dash.harvard.edu",1,"""OpenSearch""",4
"dash.harvard.edu",1,"""OAI-PMH""",4
"data1.gfdl.noaa.gov",6110,"""UNIDATA""",9411
"data.a2gov.org",20,"""FGDC""",30
"data.abuledu.org",1,"""OpenSearch""",18
"data.acgov.org",1,"""OpenSearch""",1
"data.arcticatlas.org",12,"""FGDC""",40
