"id","age","protocol","num_quality_tokens","num_quality_elements"
786570,"2011-08-01","""ISO""",342,2
235783,"2004-09-01","""ISO""",318,2
420364,"2006-06-01","""ISO""",92,2
294293,"2008-01-01","""ISO""",158,2
801317,"2014-10-01","""ISO""",2,2
577106,"2010-12-01","""ISO""",346,2
625932,"2014-12-01","""ISO""",158,2
439815,"2014-03-01","""ISO""",92,2
700912,"2013-01-01","""ISO""",76,2
459118,"9999-01-01","""ISO""",34,2
701351,"2014-03-01","""ISO""",2,2
263607,"2009-08-01","""ISO""",254,2
789589,"9999-01-01","""ISO""",8,2
472658,"2009-09-01","""ISO""",42,2
722389,"2012-06-01","""ISO""",2,2
617246,"2004-10-01","""ISO""",294,2
585984,"2011-08-01","""ISO""",126,2
700910,"2010-07-01","""ISO""",222,2
651831,"2007-05-01","""ISO""",74,2
441193,"2012-06-01","""ISO""",44,2
539989,"2013-08-01","""ISO""",84,2
146331,"2007-06-01","""ISO""",190,2
597485,"2013-12-01","""ISO""",104,2
718717,"2015-01-01","""ISO""",58,2
661967,"2008-01-01","""ISO""",2,2
314131,"2004-09-01","""ISO""",318,2
220495,"2014-04-01","""ISO""",56,2
652174,"2014-11-01","""ISO""",14,2
797894,"2014-07-01","""ISO""",56,2
406813,"2011-05-01","""ISO""",14,2
744515,"2009-05-01","""ISO""",346,2
709521,"2014-05-01","""ISO""",342,2
759267,"2006-05-01","""ISO""",342,2
479940,"2015-06-01","""ISO""",126,2
439558,"2008-05-01","""ISO""",180,2
363904,"9999-01-01","""ISO""",18,2
286365,"2004-10-01","""ISO""",96,2
151610,"2011-07-01","""ISO""",42,2
433108,"2013-03-01","""ISO""",40,2
319273,"2015-07-01","""ISO""",150,2
268850,"2014-12-01","""ISO""",172,2
425202,"1998-07-01","""ISO""",16,2
521772,"2015-05-01","""ISO""",16,2
222134,"2007-04-01","""ISO""",688,2
457764,"2014-03-01","""ISO""",2,2
745142,"2015-05-01","""ISO""",2,2
173359,"2008-09-01","""ISO""",134,2
236205,"2009-03-01","""ISO""",80,2
360895,"2006-07-01","""ISO""",356,2
370365,"2014-07-01","""ISO""",128,2
373824,"2012-10-01","""ISO""",40,2
552961,"2006-01-01","""ISO""",350,2
753489,"2010-11-01","""ISO""",190,2
267963,"2014-05-01","""ISO""",94,2
359092,"2014-03-01","""ISO""",2,2
399284,"2009-05-01","""ISO""",342,2
318067,"2009-01-01","""ISO""",346,2
142532,"2009-07-01","""ISO""",190,2
326350,"2012-02-01","""ISO""",136,2
288222,"2014-09-01","""ISO""",254,2
316999,"9999-01-01","""ISO""",36,2
