"tag","num"
"codeBook/stdyDscr/method/notes/ExtLink/@URI",12
"MI_Metadata/identificationInfo/MD_DataIdentification/purpose/CharacterString",12
"MD_Metadata/dataQualityInfo/DQ_DataQuality/lineage/LI_Lineage/statement/CharacterString",12
"dblpperson/r/incollection/ee",12
"MI_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/citedResponsibleParty/CI_ResponsibleParty/contactInfo/CI_Contact/onlineResource/CI_OnlineResource/linkage/URL",12
"metadata/idinfo/citation/citeinfo/pubinfo/publish",11
"Pokuty/Pokuta/@note",11
"Product_Instrument_PDS3/Reference_List/External_Reference/description",11
"catalog-item/common-information/supplemental-info",11
"art/fm/bibl/xrefbib/pubid",11
"MD_Metadata/distributionInfo/MD_Distribution/transferOptions/MD_DigitalTransferOptions/onLine/CI_OnlineResource/description/CharacterString",11
"MD_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/identifier/RS_Identifier/code/CharacterString",11
"Product_Data_Set_PDS3/Reference_List/External_Reference/reference_text",10
"Product_Context/Reference_List/External_Reference/doi",10
"article/body/sec/sec/p/ext-link/@href",10
"RDF/channel/link",10
"MD_Metadata/dataSetURI/CharacterString",10
"feed/entry/id",10
"codeBook/stdyDscr/citation/biblCit",10
"metadata/dataIdInfo/idCitation/otherCitDet",10
"RDF/Description/hasURL",9
"VOTABLE/DESCRIPTION",9
"article/back/ref-list/ref/nlm-citation/pub-id",9
"Product_Collection/Reference_List/External_Reference/doi",9
"article/front/article-meta/abstract/p/ext-link/@href",9
"MedlineCitationSet/MedlineCitation/Article/ELocationID",8
"MI_Metadata/dataQualityInfo/DQ_DataQuality/lineage/LI_Lineage/processStep/LE_ProcessStep/description/CharacterString",8
"OAI-PMH/GetRecord/record/metadata/metadata/idinfo/citation/citeinfo/pubinfo/publish",8
"document/treatment/subSubSection/paragraph/bibRefCitation/@url",8
"modsCollection/mods/location/url",8
"feed/entry/content/div/ul/li/a/@href",7
"Spase/Catalog/ResourceHeader/Acknowledgement",7
"metadata/dataqual/lineage/srcinfo/srccite/citeinfo/othercit",7
"Product_Observational/Reference_List/External_Reference/doi",7
"Spase/Catalog/ResourceHeader/Description",7
"article/body/sec/p/uri",7
"netcdf/variable/attribute/@value",6
"RDF/item/encoded/ul/li/a/@href",6
"eml/additionalMetadata/metadata/gbif/bibliography/citation",6
"MD_Metadata/identificationInfo/MD_DataIdentification/abstract/CharacterString",6
"export/record/bibData",6
"gridDataset/gridSet/grid/attribute/@value",6
"codeBook/stdyDscr/dataAccs/useStmt/restrctn/p/ExtLink/@URI",6
"netcdf/group/group/group/attribute/@value",6
"x_tags/Citation",6
"Product_Collection/Reference_List/External_Reference/reference_text",6
"RDF/Description/description",6
