"protocol","host","match_type","count_w_type","pct_w_type","total_responses"
"FGDC","catalog.data.gov","md5",145,4.77,3043
"FGDC","mslapps.mt.gov","md5",9,4.62,195
"FGDC","edg.epa.gov","md5",5,3.79,132
"FGDC","sofia.usgs.gov","md5",7,3.11,225
"FGDC","seakgis03.alaska.edu","md5",2,2.56,78
"FGDC","www.fgdl.org","md5",2,1.17,171
"FGDC","pubs.usgs.gov","md5",10,0.36,2778
"FGDC","data.usgs.gov","md5",2,0.23,877
"FGDC","ccom.unh.edu","text",27,100.00,27
"FGDC","hdsc.nws.noaa.gov","text",22,100.00,22
"FGDC","inport.nmfs.noaa.gov","text",595,95.20,625
"FGDC","ecowatch.ncddc.noaa.gov","text",69,90.79,76
"FGDC","oos.soest.hawaii.edu","text",172,68.80,250
"FGDC","upwell.pfeg.noaa.gov","text",73,58.87,124
"FGDC","bluehub.jrc.ec.europa.eu","text",80,58.82,136
"FGDC","coastwatch.pfeg.noaa.gov","text",188,57.85,325
"FGDC","data.nanoos.org","text",4,18.18,22
"FGDC","www.ncddc.noaa.gov","text",1,1.75,57
"FGDC","catalog.data.gov","text",36,1.18,3043
"FGDC","data.usgs.gov","text",4,0.46,877
"FGDC","www.coris.noaa.gov","text",1,0.24,425
"FGDC","www.granit.sr.unh.edu","urn",48,75.00,64
"FGDC","oos.soest.hawaii.edu","urn",45,18.00,250
"FGDC","metadata.lumcon.edu","urn",2,7.69,26
"FGDC","maps.indiana.edu","urn",3,7.50,40
"FGDC","ebola-data.un.org","urn",1,6.67,15
"FGDC","data.noaa.gov","urn",12,3.55,338
"FGDC","seakgis03.alaska.edu","urn",2,2.56,78
"FGDC","catalog.data.gov","urn",72,2.37,3043
"FGDC","data.doi.gov","urn",1,2.33,43
"FGDC","www.idaholidar.org","urn",1,2.22,45
"FGDC","woodshole.er.usgs.gov","urn",11,2.12,520
"FGDC","www.idwr.idaho.gov","urn",14,1.98,707
"FGDC","cteco.uconn.edu","urn",1,1.59,63
"FGDC","water.usgs.gov","urn",7,1.24,563
"FGDC","www.fgdl.org","urn",2,1.17,171
"FGDC","www.cob.org","urn",1,1.09,92
"FGDC","mslapps.mt.gov","urn",2,1.03,195
"FGDC","www.coris.noaa.gov","urn",4,0.94,425
"FGDC","gstore.unm.edu","urn",3,0.92,327
"FGDC","coast.noaa.gov","urn",7,0.68,1034
"FGDC","www.pasda.psu.edu","urn",1,0.52,193
"FGDC","www.landscape.blm.gov","urn",6,0.50,1203
"FGDC","data.usgs.gov","urn",4,0.46,877
"FGDC","pubs.usgs.gov","urn",6,0.22,2778
"FGDC","mrdata.usgs.gov","urn",1,0.16,618
"FGDC","edcftp.cr.usgs.gov","uuid",14,100.00,14
"FGDC","neptune.nceas.ucsb.edu","uuid",19,100.00,19
"FGDC","map.sdsu.edu","uuid",33,100.00,33
"FGDC","mslapps.mt.gov","uuid",190,97.44,195
