"tag","match_type","num"
"MD_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/identifier/MD_Identifier/@id","text",2
"MD_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/identifier/RS_Identifier/authority/CI_Citation/date/CI_Date/date/Date","text",12
"MD_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/identifier/RS_Identifier/authority/CI_Citation/date/CI_Date/dateType/CI_DateTypeCode","text",12
"MD_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/identifier/RS_Identifier/authority/CI_Citation/title/CharacterString","text",12
"MD_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/identifier/RS_Identifier/code/CharacterString","text",2110
"MD_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/identifier/RS_Identifier/code/CharacterString","uuid",18
"MD_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/identifier/RS_Identifier/code/CharacterString","doi",11
"MD_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/identifier/RS_Identifier/codeSpace/CharacterString","text",2162
"MD_Metadata/identificationInfo/MD_DataIdentification/citation/CI_Citation/identifier/RS_Identifier/version/CharacterString","text",3
"MD_Metadata/identificationInfo/MD_DataIdentification/citation/identifier/RS_Identifier/code/CharacterString","text",3
"MD_Metadata/identificationInfo/MD_DataIdentification/descriptiveKeywords/MD_Keywords/keyword/CharacterString","urn",5007
"MD_Metadata/identificationInfo/MD_DataIdentification/descriptiveKeywords/MD_Keywords/keyword/CharacterString","doi",1
"MD_Metadata/identificationInfo/MD_DataIdentification/descriptiveKeywords/MD_Keywords/thesaurusName/CI_Citation/identifier/MD_Identifier/code/Anchor","text",42
"MD_Metadata/identificationInfo/MD_DataIdentification/descriptiveKeywords/MD_Keywords/thesaurusName/@href","cooluri",343
"MD_Metadata/identificationInfo/MD_DataIdentification/descriptiveKeywords/MD_Keywords/thesaurusName/@uuidref","uuid",34
"MD_Metadata/identificationInfo/MD_DataIdentification/extent/EX_Extent/temporalElement/EX_TemporalExtent/extent/TimePeriod/@id","uuid",1012
"MD_Metadata/identificationInfo/MD_DataIdentification/graphicOverview/MD_BrowseGraphic/fileName/CharacterString","uuid",3
"MD_Metadata/identificationInfo/MD_DataIdentification/resourceConstraints/MD_LegalConstraints/otherConstraints/CharacterString","doi",2
"MD_Metadata/identificationInfo/MD_DataIdentification/resourceConstraints/MD_LegalConstraints/otherConstraints/CharacterString","urn",1
"MD_Metadata/identificationInfo/MD_DataIdentification/resourceConstraints/MD_LegalConstraints/useLimitation/CharacterString","doi",97
"MD_Metadata/identificationInfo/MD_DataIdentification/resourceConstraints/MD_LegalConstraints/useLimitation/CharacterString","uuid",10
"MD_Metadata/identificationInfo/MD_DataIdentification/resourceFormat/MD_Format/name/CharacterString","cooluri",22
"MD_Metadata/identificationInfo/MD_DataIdentification/resourceFormat/MD_Format/name/CharacterString","md5",17
"MD_Metadata/identificationInfo/MD_DataIdentification/supplementalInformation/CharacterString","md5",23
"MD_Metadata/identificationInfo/MD_DataIdentification/supplementalInformation/CharacterString","doi",6
"MD_Metadata/identificationInfo/MD_DataIdentification/supplementalInformation/CharacterString","urn",1
"MD_Metadata/identificationInfo/SDN_DataIdentification/extent/EX_Extent/verticalElement/EX_VerticalExtent/verticalCRS/VerticalCRS/verticalDatum/VerticalDatum/identifier/@codeSpace","text",2
"MD_Metadata/identificationInfo/SV_ServiceIdentification/citation/CI_Citation/identifier/MD_Identifier/code/CharacterString","uuid",9
"MD_Metadata/identificationInfo/SV_ServiceIdentification/citation/CI_Citation/identifier/MD_Identifier/code/CharacterString","text",4
"MD_Metadata/identificationInfo/SV_ServiceIdentification/citation/CI_Citation/identifier/RS_Identifier/code/CharacterString","text",67
"MD_Metadata/identificationInfo/SV_ServiceIdentification/citation/CI_Citation/identifier/RS_Identifier/code/CharacterString","uuid",4
"MD_Metadata/identificationInfo/SV_ServiceIdentification/citation/CI_Citation/identifier/RS_Identifier/codeSpace/CharacterString","text",63
"MD_Metadata/identificationInfo/SV_ServiceIdentification/containsOperations/SV_OperationMetadata/connectPoint/CI_OnlineResource/linkage/URL","uuid",382
"MD_Metadata/identificationInfo/SV_ServiceIdentification/extent/EX_Extent/temporalElement/EX_TemporalExtent/extent/TimePeriod/@id","uuid",27
"MD_Metadata/identificationInfo/SV_ServiceIdentification/operatesOn/@href","uuid",32
"MD_Metadata/identificationInfo/SV_ServiceIdentification/operatesOn/@uuidref","md5",8
"MD_Metadata/identificationInfo/SV_ServiceIdentification/operatesOn/@uuidref","uuid",2
"MD_Metadata/parentIdentifier/CharacterString","md5",703
"MD_Metadata/parentIdentifier/CharacterString","uuid",130
"MD_Metadata/parentIdentifier/CharacterString","urn",117
"MD_Metadata/parentIdentifier/CharacterString","text",93
"MD_Metadata/referenceSystemInfo/MD_ReferenceSystem/referenceSystemIdentifier/RS_Identifier/authority/CI_Citation/identifier/MD_Identifier/code/CharacterString","text",30
"metadata/abstract","doi",2
"metadata/abstract","cooluri",1
"metadata/Binary/Enclosure/Data","cooluri",1
"metadata/Binary/Enclosure/Data/@SourceMetadataDigest","md5",61
"metadata/Binary/Thumbnail/img","cooluri",88
"metadata/citation","doi",19
"metadata/common_information/metadata_source/url","uuid",115
"Metadata/dataIdInfo/dataExt/vertEle/vertDatum/datumId/identCode/@SDNIdent","urn",1
"Metadata/dataIdInfo/dataScale/scaleDist/uom/UomTime/uomName/@SDNIdent","urn",1
"Metadata/dataIdInfo/descKeys/keyword/@SDNIdent","urn",35
"metadata/dataIdInfo/descKeys/thesaName/@uuidref","uuid",428
"metadata/dataIdInfo/idAbs","uuid",18
"metadata/dataIdInfo/idAbs","cooluri",15
"metadata/dataIdInfo/idAbs","md5",14
"metadata/dataIdInfo/idAbs","doi",5
"Metadata/dataIdInfo/idCitation/citRespParty/rpOrgName/@SDNIdent","urn",10
"metadata/dataIdInfo/idCitation/otherCitDet","doi",10
"Metadata/dataIdInfo/idCitation/resTitle/@SDNIdent","urn",7
"metadata/dataIdInfo/idPoC/editorDigest","md5",3
"Metadata/dataIdInfo/idPoC/rpOrgName/@SDNIdent","urn",1
"metadata/dataIdInfo/idPurp","doi",4
"metadata/dataIdInfo/otherKeys/thesaName/@uuidref","uuid",5
"Metadata/dataIdInfo/resConst/LegConsts/accessConsts/@SDNIdent","urn",3
"metadata/dataIdInfo/resMaint/maintCont/editorDigest","md5",4
"metadata/dataqual/attracc/attraccr","doi",2
"metadata/dataqual/attracc/attraccr","urn",1
"metadata/dataqual/complete","cooluri",2
"metadata/dataqual/complete","doi",1
"metadata/dataqual/lineage/method/methcite/citeinfo/onlink","doi",4
"metadata/dataqual/lineage/method/methcite/citeinfo/onlink","md5",4
"metadata/dataqual/lineage/method/methdesc","urn",2
"metadata/dataqual/lineage/procstep/procdesc","cooluri",3703
"metadata/dataqual/lineage/procstep/procdesc","urn",44
"metadata/dataqual/lineage/procstep/procdesc","doi",34
"metadata/dataqual/lineage/procstep/procdesc","md5",9
"metadata/dataqual/lineage/procstep/procdesc","uuid",4
"metadata/dataqual/lineage/procstep/srcused","cooluri",7
"metadata/dataqual/lineage/procstep/srcused","md5",7
"metadata/dataqual/lineage/srcinfo/srccite/citeinfo/onlink","doi",56
"metadata/dataqual/lineage/srcinfo/srccite/citeinfo/onlink","uuid",21
"metadata/dataqual/lineage/srcinfo/srccite/citeinfo/onlink","md5",8
"metadata/dataqual/lineage/srcinfo/srccite/citeinfo/onlink","urn",5
"metadata/dataqual/lineage/srcinfo/srccite/citeinfo/onlink","cooluri",5
"metadata/dataqual/lineage/srcinfo/srccite/citeinfo/origin","doi",1
"metadata/dataqual/lineage/srcinfo/srccite/citeinfo/othercit","doi",7
"metadata/dataqual/lineage/srcinfo/srccontr","uuid",1
"metadata/dataqual/lineage/srcinfo/srccontr","urn",1
"metadata/dataqual/lineage/srcinfo/srcscale","urn",1
"metadata/dataqual/posacc/horizpa/horizpar","cooluri",9
"metadata/dataqual/posacc/horizpa/horizpar","doi",2
"metadata/dataqual/posacc/horizpa/horizpar","urn",1
"metadata/dataqual/posacc/vertacc/vertaccr","urn",1
"metadata/distinfo/custom","cooluri",1
"metadata/distinfo/custom","urn",1
"metadata/distinfo/distliab","urn",1
"metadata/distinfo/distrib/cntinfo/cntemail","urn",4
"metadata/distinfo/distrib/cntinfo/cntinst","cooluri",4
"Metadata/distInfo/distributor/distorCont/rpOrgName/@SDNIdent","urn",1
"Metadata/distInfo/distributor/distorFormat/formatName/@SDNIdent","urn",2
"metadata/distInfo/distTranOps/onLineSrc/linkage","doi",4
"metadata/distInfo/distTranOps/onLineSrc/linkage","md5",3
"metadata/distInfo/distTranOps/onLineSrc/linkage","uuid",1
"Metadata/distInfo/distTranOps/onLineSrc/protocol","urn",1
"metadata/distinfo/stdorder/digform/digtinfo/formcont","urn",5
"metadata/distinfo/stdorder/digform/digtopt/offoptn/compat","urn",22
"metadata/distinfo/stdorder/digform/digtopt/onlinopt/accinstr","doi",18
"metadata/distinfo/stdorder/digform/digtopt/onlinopt/accinstr","urn",1
"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/networkr","uuid",318
"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/networkr","urn",122
"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/networkr","doi",108
"metadata/distinfo/stdorder/digform/digtopt/onlinopt/computer/networka/networkr","md5",41
"metadata/distinfo/stdorder/ordering","urn",1
"metadata/distinfo/techpreq","cooluri",2
"metadata/doi","doi",44
"metadata/doi","uuid",28
"metadata/dqInfo/dataLineage/dataSource/srcCitatn/citOnlineRes/linkage","md5",1
"metadata/eainfo/detailed/attr/attrdef","urn",8
"metadata/eainfo/detailed/attr/attrdef","doi",2
"metadata/eainfo/detailed/attr/attrdefs","uuid",1
