"tag","host","freq_tag_by_response","response_per_host","average_tokens","min_tokens","max_tokens"
"@href","webservices.nationalatlas.gov",3034,6,1.00,1,1
"@href","webarchive.nationalarchives.gov.uk",3034,24,1.00,1,1
"@href","web2.nbmg.unr.edu",3034,51,1.00,1,1
"@href","water.discomap.eea.europa.eu",3034,8,1.00,1,1
"@href","w4.jcommops.org",3034,6,1.00,1,1
"@href","vmap0.tiles.osgeo.org",3034,1,1.00,1,1
"@href","tigerweb.geo.census.gov",3034,29,1.00,1,1
"@href","tds.glos.us",3034,2,1.00,1,1
"@href","taskman.eionet.europa.eu",3034,1,1.00,1,1
"Title","stellwagen.er.usgs.gov",2627,220,6.00,6,6
"Title","sg.geodatenzentrum.de",2627,6,6.00,1,9
"Title","services.wvgis.wvu.edu",2627,16,1.00,1,1
"Title","services.sandre.eaufrance.fr",2627,6,8.17,3,10
"Title","services.nationalmap.gov",2627,15,1.33,1,6
"Title","services.kgs.ku.edu",2627,2,2.00,1,3
"Title","services.information.qld.gov.au",2627,1,4.00,4,4
"Title","services.geog.ksu.edu",2627,4,1.00,1,1
"Title","services.geocirrus.co.nz",2627,45,1.00,1,1
"Title","services.azgs.az.gov",2627,106,1.28,1,5
"Title","services.aad.gov.au",2627,1,5.00,5,5
"Title","sedsh127.sedsh.gov.uk",2627,4,2.75,1,4
"Title","sedac.ciesin.org",2627,5,3.75,3,4
"Title","seamlessrnc.nauticalcharts.noaa.gov",2627,1,1.00,1,1
"Title","sdmdataaccess.nrcs.usda.gov",2627,1,10.00,10,10
"Title","schemas.opengis.net",2627,1,4.00,4,4
"Title","sccoos-obs0.ucsd.edu",2627,2,18.00,18,18
"Title","rsg.pml.ac.uk",2627,9,5.00,5,5
"Title","resource.sgu.se",2627,23,5.35,3,8
"Title","recon.sccf.org",2627,1,3.00,3,3
"Title","raster.nationalmap.gov",2627,6,1.00,1,1
"Title","programs.iowadnr.gov",2627,4,1.00,1,1
"Title","portal.ina-sdi.or.id",2627,1,1.00,1,1
"Title","osmc.noaa.gov",2627,4,3.00,3,3
"Title","opendataserver.ashevillenc.gov",2627,1,4.00,4,4
"Title","oos.soest.hawaii.edu",2627,3,2.00,2,2
"Title","onegeology.org",2627,1,5.00,5,5
"Title","ogc.gina.alaska.edu",2627,4,1.00,1,1
"Title","nowcoast.noaa.gov",2627,6,3.00,3,3
"Title","kygisserver.ky.gov",2627,11,1.00,1,1
"Title","land.discomap.eea.europa.eu",2627,15,1.00,1,1
"Title","limaims.cr.usgs.gov",2627,3,6.00,6,6
"Title","map.arboretum.harvard.edu",2627,1,1.00,1,1
"Title","map.bgs.ac.uk",2627,3,8.00,5,11
"Title","map.earthchemportal.org",2627,1,4.00,4,4
"Title","mapgateway.snh.gov.uk",2627,1,4.00,4,4
"Title","map.gsa.state.al.us",2627,4,2.00,1,5
"Title","mapping.launceston.tas.gov.au",2627,1,1.00,1,1
"Title","maps2.dcgis.dc.gov",2627,17,1.00,1,1
"Title","maps.arvada.org",2627,4,1.00,1,1
"Title","maps.bolton.gov.uk",2627,1,3.00,3,3
"Title","maps.bristol.gov.uk",2627,1,5.00,5,5
"Title","maps.carlisle.gov.uk",2627,1,3.00,3,3
"Title","maps.cera.govt.nz",2627,31,1.00,1,1
"Title","maps.ci.charlotte.nc.us",2627,7,1.00,1,1
"Title","maps.communities.gov.uk",2627,1,4.00,4,4
"Title","maps.devotes.eu",2627,2,2.00,2,2
"Title","maps.edc.uri.edu",2627,34,1.00,1,1
"Title","mapserver.kansasgis.org",2627,6,1.83,1,3
"Title","mapserver.ngdc.noaa.gov",2627,2,4.00,4,4
"Title","mapserv.utah.gov",2627,1,1.00,1,1
"Title","maps.gcc.tas.gov.au",2627,1,7.00,7,7
"Title","maps.ngdc.noaa.gov",2627,77,1.00,1,1
"Title","maps.reigate-banstead.gov.uk",2627,1,3.00,3,3
"Title","maps-svcs.mit.edu",2627,1,1.00,1,1
"Title","maps.york.gov.uk",2627,9,1.00,1,1
"Title","maritimeboundaries.noaa.gov",2627,7,3.57,1,10
"Title","mgs.geology.wmich.edu",2627,7,3.00,1,6
"Title","michigan.glin.net",2627,2,5.00,5,5
"Title","miles-gis-sandbox.northwestknowledge.net",2627,1,1.00,1,1
