"host","codelist","count"
"mcm.lternet.edu","http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#CI_RoleCode",77
"mcm.lternet.edu","http://www.ngdc.noaa.gov/metadata/published/xsd/schema/resources/Codelist/gmxCodelists.xml#CI_RoleCode",76
"meta.geo.census.gov","http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#CI_RoleCode",2774
"mrdata.usgs.gov","http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#CI_RoleCode",73
"nap.geogratis.gc.ca","http://nap.geogratis.gc.ca/metadata/register/napMetadataRegister.xml#IC_90",41
"observer.gsfc.nasa.gov","http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#CI_RoleCode",100
"oos.soest.hawaii.edu","http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#CI_RoleCode",24
"oos.soest.hawaii.edu","http://www.ngdc.noaa.gov/metadata/published/xsd/schema/resources/Codelist/gmxCodelists.xml#CI_RoleCode",1579
"oos.soest.hawaii.edu","http://www.ngdc.noaa.gov/metadata/published/xsd/schema/resources/Codelist/gmxCodelists.xml#gmd:CI_RoleCode",1466
"opendata.euskadi.eus","./resources/codeList.xml#CI_RoleCode",24
"opendata.euskadi.eus","http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/Codelist/ML_gmxCodelists.xml#CI_RoleCode",1330
"opendata.thessaloniki.gr","http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/Codelist/ML_gmxCodelists.xml#CI_RoleCode",19
"osmc.noaa.gov","http://www.ngdc.noaa.gov/metadata/published/xsd/schema/resources/Codelist/gmxCodelists.xml#gmd:CI_RoleCode",121
"pacioos-mapserver2.ancl.hawaii.edu","http://www.ngdc.noaa.gov/metadata/published/xsd/schema/resources/Codelist/gmxCodelists.xml#gmd:CI_RoleCode",65
"partnerdataexport.ccw.gov.uk","http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/Codelist/gmxCodelists.xml#CI_RoleCode",4
"pcrafi.spc.int","http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#CI_RoleCode",3
"portal.oceannet.org","http://aws2.caris.com/sfs/schemas/iso/19139/20070417/resources/Codelist/gmxCodelists.xml#CI_RoleCode",9
"portal.oceannet.org","http://standards.iso.org/iso/19139/resources/codelist/gmxCodelists.xml#CI_RoleCode",96
"portal.oceannet.org","http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/Codelist/gmxCodelists.xml#CI_RoleCode",125
"portal.oceannet.org","http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/codelist/gmxCodelists.xml#CI_RoleCode",120
"repository.stategeothermaldata.org","http://standards.iso.org/iso/19139/resources/codelist/gmxCodelists.xml",3
"repository.stategeothermaldata.org","http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/Codelist/gmxCodelists.xml#CI_RoleCode",8521
"repository.stategeothermaldata.org","http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#CI_RoleCode",37
"rsg.pml.ac.uk","http://www.ngdc.noaa.gov/metadata/published/xsd/schema/resources/Codelist/gmxCodelists.xml#CI_RoleCode",20
"search.geothermaldata.org","http://standards.iso.org/iso/19139/resources/codelist/gmxCodelists.xml",13239
"sero.nmfs.noaa.gov","http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#CI_RoleCode",235
"stellwagen.er.usgs.gov","http://www.ngdc.noaa.gov/metadata/published/xsd/schema/resources/Codelist/gmxCodelists.xml#CI_RoleCode",981
"taskman.eionet.europa.eu","http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/Codelist/ML_gmxCodelists.xml#CI_RoleCode",6
"tds.glos.us","http://www.ngdc.noaa.gov/metadata/published/xsd/schema/resources/Codelist/gmxCodelists.xml#CI_RoleCode",12
"upwell.pfeg.noaa.gov","http://www.ngdc.noaa.gov/metadata/published/xsd/schema/resources/Codelist/gmxCodelists.xml#gmd:CI_RoleCode",1121
"vislab-ccom.unh.edu","http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#CI_RoleCode",15
"vogis.cnv.at","http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/Codelist/ML_gmxCodelists.xml#CI_RoleCode",3
"webarchive.nationalarchives.gov.uk","http://webarchive.nationalarchives.gov.uk/20130402145952/http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/Codelist/gmxCodelists.xml#CI_RoleCode",26
"wis.wmo.int","./resources/codeList.xml#CI_RoleCode",50
"www.add.scar.org","http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/Codelist/ML_gmxCodelists.xml#CI_RoleCode",2
"www.admiralty.co.uk","http://aws2.caris.com/sfs/schemas/iso/19139/20070417/resources/Codelist/gmxCodelists.xml#CI_RoleCode",9
"www.admiralty.co.uk","http://standards.iso.org/iso/19139/resources/codelist/gmxCodelists.xml#CI_RoleCode",75
"www.aoncadis.org","http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#CI_RoleCode",146
"www.bco-dmo.org","http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#CI_RoleCode",7
"www.beacons-npa.gov.uk","http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/codelist/ML_gmxCodelists.xml#CI_RoleCode",4
"www.charts.noaa.gov","http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#CI_RoleCode",5572
"www.coris.noaa.gov","http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#CI_RoleCode",1716
"www.coris.noaa.gov","http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#gmd:CI_RoleCode",28
"www.coris.noaa.gov","http://www.ngdc.noaa.gov/metadata/published/xsd/schema/resources/Codelist/gmxCodelists.xml#CI_RoleCode",551
"www.data.gouv.fr","http://www.isotc211.org/2005/resources/codeList.xml#CI_RoleCode",4
"www.datalocale.fr","http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#CI_RoleCode",2
"www.datanorthyorkshire.org","http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#CI_RoleCode",2
"www.deq.state.va.us","http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#CI_RoleCode",3
"www.earthsystemgrid.org","http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#CI_RoleCode",186
"www.eea.europa.eu","http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/Codelist/ML_gmxCodelists.xml#CI_RoleCode",44
"www.epa.gov","http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#CI_RoleCode",4
"www.euskadi.eus","./resources/codeList.xml#CI_RoleCode",18
"www.euskadi.eus","http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/Codelist/ML_gmxCodelists.xml#CI_RoleCode",560
"www.ga.gov.au","http://asdd.ga.gov.au/asdd/profileinfo/gmxCodelists.xml#CI_RoleCode",778
"www.geoportal.rlp.de","http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/codelist/ML_gmxCodelists.xml#CI_RoleCode",8
"www.geoviqua.org","CI_RoleCode",4
"www.geoviqua.org","http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#CI_RoleCode",14
"www.geoviqua.org","http://www.ngdc.noaa.gov/metadata/published/xsd/schema/resources/Codelist/gmxCodelists.xml#CI_RoleCode",8
"www.lehendakaritza.ejgv.euskadi.eus","./resources/codeList.xml#CI_RoleCode",3
"www.lehendakaritza.ejgv.euskadi.eus","http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/Codelist/ML_gmxCodelists.xml#CI_RoleCode",69
"www.marine-geo.org","http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#CI_RoleCode",15
"www.nauticalcharts.noaa.gov","http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#CI_RoleCode",11
"www.nauticalcharts.noaa.gov","http://www.ngdc.noaa.gov/metadata/published/xsd/schema/resources/Codelist/gmxCodelists.xml#CI_RoleCode",1
"www.ncddc.noaa.gov","http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#CI_RoleCode",3168
"www.ncddc.noaa.gov","http://www.ngdc.noaa.gov/metadata/published/xsd/schema/resources/Codelist/gmxCodelists.xml#CI_RoleCode",4607
"www.ngdc.noaa.gov","http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#CI_RoleCode",9028
"www.ngdc.noaa.gov","http://www.ngdc.noaa.gov/metadata/published/xsd/schema/resources/Codelist/gmxCodelists.xml#CI_RoleCode",12714
"www.ngdc.noaa.gov","sponsor",7
"www.ngdc.noaa.gov","www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#CI_RoleCode",4
"www.rijkswaterstaat.nl","file://Agi-s000001/afdelingen/GSMS/Extern/Applicaties_en_Tools/Databeheer/Metadata/GeoMDE_22/resources/customCodelists_new.xml#CI_RoleCode",16
"www.rijkswaterstaat.nl","file://Shr-ipvw-gpr001/metadatatools/Metadatamaker/config_bestanden/customCodelists.xml#CI_RoleCode",5
"www.rijkswaterstaat.nl","file://appconf.intranet.rws.nl/Appconf/metadatatools/Metadatamaker/config_bestanden/customCodelists.xml#CI_RoleCode",3
"www.rijkswaterstaat.nl","http://www.rijkswaterstaat.nl/apps/geoservices/help/metadata/customCodelists.xml#CI_RoleCode",2
"www.seadatanet.org","http://vocab.nerc.ac.uk/isoCodelists/sdnCodelists/gmxCodeLists.xml#CI_RoleCode",28
"www.sitr.regione.sicilia.it","http://standards.iso.org/ittf/PubliclyAvailableStandards/ISO_19139_Schemas/resources/Codelist/ML_gmx Codelists.xml#CI_RoleCode",10
"www.usgs.gov","http://www.isotc211.org/2005/resources/Codelist/gmxCodelists.xml#CI_RoleCode",4192
"www1.ncdc.noaa.gov","http://www.ngdc.noaa.gov/metadata/published/xsd/schema/resources/Codelist/gmxCodelists.xml#CI_RoleCode",27
"www1.usgs.gov","http://www.ngdc.noaa.gov/metadata/published/xsd/schema/resources/Codelist/gmxCodelists.xml#gmd:CI_RoleCode",10
