|dc:identifiers|event|link|name|repo|repo_changed|source
186|False|again changed the basicurl||National Cheng Kung University Institutional Repository||False|
187|False|changed the basicurl||Digitum (Depósito de la Universidad de Murcia)||False|
188|False|||OACIS of Tokyo University of Marine Science and Technology (TUMSAT) is accessible via OAI-PMH||False|
189|False|new registry||HilDok (University of Hildesheim, Germany)||False|
190|False|||Migrated repository: RiuNet with new url and new basicurl|DSpace|False|
191|False|new registry||Te Tumu Eprints Repository with OAI-PMH interface||False|
192|False|||ElAr, Open Electronic Archive of Kharkov National University of Radioelectronics is accessible via OAI-PMH now||False|
193|False|||Colecciones Digitales Uniminuto with OAI-PMH basicurl now||False|
194|False|||National United University Institutional Repository with modified basicurl||False|
195|False|modified the basicurl||OPuS-Publikationsserver, Berufsverband Information Bibliothek e.V. (BIB)||False|
196|False|||UNED Madrid with modified basicurl||False|
197|False|||Theses de l'ULP, Univ Strassburg with modified basicurl||False|
198|False|||National Central University Institutional Repository (NCUIR), Taiwan uses a modified basicurl|the DSpace software|False|
199|False|||Feng Chia University Repository now accessible||False|
