"id","age","protocol","num_lineage_tokens","num_lineage_elements"
603868,"","""ISO""",226,2
683066,"2014-05-01","""ISO""",12,2
588817,"2015-06-01","""ISO""",13,2
317342,"2015-05-01","""ISO""",1037,2
806143,"2014-09-01","""ISO""",73,2
241499,"2015-03-01","""ISO""",136,2
736604,"2015-06-01","""ISO""",119,2
554322,"2014-10-01","""ISO""",8,2
547871,"2015-06-01","""ISO""",12,2
355051,"2014-05-01","""ISO""",12,2
684014,"","""ISO""",76,2
770971,"2014-10-01","""ISO""",8,2
643517,"2015-04-01","""ISO""",1130,2
649200,"2015-04-01","""ISO""",306,2
190365,"2014-06-01","""ISO""",221,2
504720,"2015-06-01","""ISO""",12,2
725082,"2015-04-01","""ISO""",435,2
717339,"2015-09-01","""ISO""",214,2
141445,"2014-08-01","""ISO""",76,2
290497,"2014-06-01","""ISO""",146,2
644882,"2015-04-01","""ISO""",435,2
297521,"2015-06-01","""ISO""",155,2
773221,"2015-06-01","""ISO""",12,2
796953,"2015-06-01","""ISO""",155,2
267114,"2015-06-01","""ISO""",12,2
280871,"2015-08-01","""ISO""",212,2
678811,"2014-04-01","""ISO""",497,2
320845,"2015-04-01","""ISO""",435,2
360501,"2015-06-01","""ISO""",69,2
407765,"2014-10-01","""ISO""",12,2
804655,"2014-05-01","""ISO""",12,2
275304,"2014-09-01","""ISO""",33,2
180385,"2015-04-01","""ISO""",1158,2
372591,"2015-06-01","""ISO""",279,2
744630,"2014-09-01","""ISO""",24,2
618291,"2015-06-01","""ISO""",36,2
392035,"2015-06-01","""ISO""",12,2
484505,"2014-05-01","""ISO""",12,2
711668,"2014-09-01","""ISO""",76,2
366588,"2015-09-01","""ISO""",212,2
556038,"","""ISO""",76,2
186235,"2015-08-01","""ISO""",252,2
611583,"2014-06-01","""ISO""",217,2
166876,"2014-08-01","""ISO""",76,2
213114,"2015-03-01","""ISO""",136,2
257299,"2014-06-01","""ISO""",22,2
336550,"2015-06-01","""ISO""",12,2
403188,"2015-08-01","""ISO""",219,2
447182,"2015-06-01","""ISO""",69,2
519169,"2015-08-01","""ISO""",219,2
495055,"2015-05-01","""ISO""",444,2
584552,"2015-06-01","""ISO""",51,2
216183,"2015-09-01","""ISO""",146,2
383118,"2015-06-01","""ISO""",24,2
634077,"2014-08-01","""ISO""",76,2
353167,"2014-07-01","""ISO""",3,2
247426,"2015-08-01","""ISO""",94,2
281908,"2015-04-01","""ISO""",435,2
760891,"2014-06-01","""ISO""",20,2
239848,"2014-06-01","""ISO""",136,2
790646,"2015-06-01","""ISO""",12,2
813458,"2015-08-01","""ISO""",135,2
801302,"2015-06-01","""ISO""",12,2
397351,"2015-08-01","""ISO""",60,2
764731,"2014-10-01","""ISO""",5,2
141214,"2014-05-01","""ISO""",12,2
412754,"2015-06-01","""ISO""",13,2
804685,"2015-04-01","""ISO""",421,2
414033,"2014-09-01","""ISO""",119,2
228295,"2015-06-01","""ISO""",12,2
262478,"2014-09-01","""ISO""",22,2
456116,"2015-09-01","""ISO""",221,2
636899,"2015-06-01","""ISO""",69,2
567922,"2009-07-01","""ISO""",7,2
784824,"2015-06-01","""ISO""",119,2
148884,"2015-08-01","""ISO""",94,2
814859,"2014-09-01","""ISO""",23,2
709550,"2015-08-01","""ISO""",120,2
560111,"","""ISO""",4,2
230613,"","""ISO""",76,2
751318,"2015-06-01","""ISO""",12,2
324693,"2015-06-01","""ISO""",27,2
202225,"2015-09-01","""ISO""",120,2
519654,"2014-06-01","""ISO""",210,2
238452,"2015-06-01","""ISO""",181,2
437661,"2015-04-01","""ISO""",583,2
803890,"","""ISO""",23,2
796947,"2013-12-01","""ISO""",331,2
442540,"2015-04-01","""ISO""",310,2
298559,"2015-06-01","""ISO""",43,2
618140,"2014-10-01","""ISO""",8,2
719331,"2014-06-01","""ISO""",146,2
204239,"2015-09-01","""ISO""",211,2
454493,"2015-03-01","""ISO""",214,2
786255,"2015-04-01","""ISO""",469,2
225653,"2015-04-01","""ISO""",563,2
448275,"2014-06-01","""ISO""",219,2
421448,"2015-04-01","""ISO""",433,2
343527,"2015-06-01","""ISO""",12,2
594140,"2015-06-01","""ISO""",13,2
546539,"2015-04-01","""ISO""",368,2
284116,"2015-04-01","""ISO""",304,2
546052,"2015-03-01","""ISO""",211,2
255991,"2015-06-01","""ISO""",205,2
553728,"2015-04-01","""ISO""",439,2
748477,"2015-06-01","""ISO""",279,2
321827,"2015-06-01","""ISO""",12,2
632605,"2015-04-01","""ISO""",500,2
654962,"","""ISO""",76,2
200866,"2015-06-01","""ISO""",155,2
398487,"2015-06-01","""ISO""",12,2
421116,"2015-04-01","""ISO""",3534,2
728451,"2015-04-01","""ISO""",381,2
699737,"2015-06-01","""ISO""",161,2
765033,"2015-06-01","""ISO""",12,2
643936,"2015-04-01","""ISO""",982,2
567149,"2014-10-01","""ISO""",8,2
531687,"2015-06-01","""ISO""",56,2
531941,"2014-08-01","""ISO""",76,2
678401,"2015-09-01","""ISO""",94,2
257394,"2015-06-01","""ISO""",287,2
398883,"2015-04-01","""ISO""",716,2
175046,"2015-04-01","""ISO""",951,2
610370,"2014-06-01","""ISO""",35,2
467015,"2014-07-01","""ISO""",12,2
759894,"2015-08-01","""ISO""",146,2
812413,"2015-08-01","""ISO""",219,2
353842,"2014-10-01","""ISO""",8,2
318701,"2015-07-01","""ISO""",129,2
523713,"2015-09-01","""ISO""",221,2
292142,"2015-06-01","""ISO""",22,2
646633,"2015-06-01","""ISO""",12,2
185161,"2015-06-01","""ISO""",55,2
740815,"2015-06-01","""ISO""",12,2
760823,"2014-08-01","""ISO""",76,2
343417,"2015-06-01","""ISO""",25,2
328906,"2015-04-01","""ISO""",494,2
802122,"","""ISO""",63,2
348844,"2015-04-01","""ISO""",471,2
763969,"2015-08-01","""ISO""",221,2
516374,"2015-04-01","""ISO""",946,2
586824,"2011-10-01","""ISO""",60,2
472948,"2015-08-01","""ISO""",94,2
582478,"2014-10-01","""ISO""",8,2
357964,"2015-09-01","""ISO""",219,2
450124,"2014-06-01","""ISO""",219,2
572356,"","""ISO""",707,2
166766,"2014-09-01","""ISO""",22,2
430676,"2015-04-01","""ISO""",433,2
418390,"2015-08-01","""ISO""",219,2
640966,"2015-08-01","""ISO""",217,2
388209,"2014-09-01","""ISO""",76,2
249774,"","""ISO""",90,2
782417,"2014-08-01","""ISO""",76,2
780365,"2013-12-01","""ISO""",352,2
468931,"2014-05-01","""ISO""",50,2
353353,"2015-06-01","""ISO""",119,2
284661,"2015-04-01","""ISO""",458,2
420020,"2014-07-01","""ISO""",12,2
269309,"","""ISO""",55,2
385409,"2015-04-01","""ISO""",435,2
760101,"2015-06-01","""ISO""",12,2
799675,"2015-04-01","""ISO""",796,2
407103,"2014-04-01","""ISO""",16,2
604232,"2015-06-01","""ISO""",56,2
358035,"2015-06-01","""ISO""",12,2
743961,"2015-05-01","""ISO""",493,2
250823,"2014-06-01","""ISO""",146,2
574802,"2013-08-01","""ISO""",84,2
483120,"2014-07-01","""ISO""",76,2
485561,"2015-06-01","""ISO""",25,2
201391,"2014-06-01","""ISO""",23,2
457421,"2015-09-01","""ISO""",210,2
799290,"2015-09-01","""ISO""",214,2
755412,"2014-06-01","""ISO""",33,2
542475,"2014-06-01","""ISO""",35,2
398693,"2015-04-01","""ISO""",476,2
533899,"2011-10-01","""ISO""",60,2
499627,"2015-06-01","""ISO""",55,2
665508,"2015-04-01","""ISO""",588,2
309576,"2014-06-01","""ISO""",214,2
713904,"2015-06-01","""ISO""",51,2
736671,"2014-06-01","""ISO""",146,2
348518,"2015-09-01","""ISO""",217,2
512181,"2015-06-01","""ISO""",12,2
387097,"2015-06-01","""ISO""",12,2
362711,"2015-06-01","""ISO""",12,2
617119,"2015-04-01","""ISO""",308,2
333218,"2014-05-01","""ISO""",12,2
444843,"2014-07-01","""ISO""",76,2
725974,"2015-06-01","""ISO""",287,2
530800,"2015-09-01","""ISO""",219,2
163901,"2014-09-01","""ISO""",55,2
279807,"2015-06-01","""ISO""",12,2
147914,"2014-06-01","""ISO""",35,2
510879,"2015-06-01","""ISO""",36,2
216716,"2014-08-01","""ISO""",55,2
382808,"2015-08-01","""ISO""",219,2
278154,"2015-08-01","""ISO""",221,2
321033,"2014-09-01","""ISO""",76,2
811863,"2013-12-01","""ISO""",548,2
536715,"2014-05-01","""ISO""",13,2
741231,"2015-06-01","""ISO""",12,2
334199,"2015-04-01","""ISO""",1127,2
185764,"2015-08-01","""ISO""",214,2
410487,"2014-06-01","""ISO""",219,2
365593,"2014-07-01","""ISO""",3,2
564404,"2009-07-01","""ISO""",7,2
180250,"2015-09-01","""ISO""",5,2
287856,"2015-06-01","""ISO""",12,2
248254,"2014-08-01","""ISO""",76,2
357100,"2015-09-01","""ISO""",146,2
241548,"2015-06-01","""ISO""",197,2
574406,"2015-06-01","""ISO""",13,2
577849,"2015-04-01","""ISO""",445,2
399009,"2014-07-01","""ISO""",22,2
454022,"","""ISO""",63,2
605206,"2015-04-01","""ISO""",457,2
367851,"2014-05-01","""ISO""",12,2
410658,"2015-08-01","""ISO""",214,2
757362,"2015-04-01","""ISO""",443,2
261673,"2009-07-01","""ISO""",7,2
154120,"2015-06-01","""ISO""",13,2
152220,"2014-06-01","""ISO""",219,2
307495,"2015-04-01","""ISO""",476,2
300224,"2014-09-01","""ISO""",76,2
201719,"2015-08-01","""ISO""",219,2
225263,"2015-08-01","""ISO""",120,2
796241,"2015-09-01","""ISO""",146,2
448642,"2015-03-01","""ISO""",855,2
770368,"2014-06-01","""ISO""",12,2
237947,"2015-04-01","""ISO""",321,2
800985,"2015-06-01","""ISO""",129,2
675262,"2015-06-01","""ISO""",13,2
406942,"","""ISO""",958,2
808353,"2015-06-01","""ISO""",13,2
184981,"2014-10-01","""ISO""",5,2
577879,"","""ISO""",177,2
