"codelist";"codelist_value";"count"
"http://adl.brs.gov.au/anrdl/resources/codeList/codeList20120313.xml#CI_RoleCode";"distributor";2
"http://asdd.ga.gov.au/asdd/profileinfo/gmxCodelists.xml#CI_RoleCode";"author";220
"http://asdd.ga.gov.au/asdd/profileinfo/gmxCodelists.xml#CI_RoleCode";"custodian";113
"http://asdd.ga.gov.au/asdd/profileinfo/gmxCodelists.xml#CI_RoleCode";"distributor";101
"http://asdd.ga.gov.au/asdd/profileinfo/gmxCodelists.xml#CI_RoleCode";"owner";204
"http://asdd.ga.gov.au/asdd/profileinfo/gmxCodelists.xml#CI_RoleCode";"pointOfContact";114
"http://asdd.ga.gov.au/asdd/profileinfo/gmxCodelists.xml#CI_RoleCode";"publisher";49
"http://aws2.caris.com/sfs/schemas/iso/19139/20070417/resources/Codelist/gmxCodelists.xml#CI_RoleCode";"custodian";6
"http://aws2.caris.com/sfs/schemas/iso/19139/20070417/resources/Codelist/gmxCodelists.xml#CI_RoleCode";"originator";6
"http://aws2.caris.com/sfs/schemas/iso/19139/20070417/resources/Codelist/gmxCodelists.xml#CI_RoleCode";"pointOfContact";6
"http://data.daff.gov.au/anrdl/resources/codeList/codeList20120313.xml#CI_RoleCode";"author";22
"http://data.daff.gov.au/anrdl/resources/codeList/codeList20120313.xml#CI_RoleCode";"custodian";140
"http://data.daff.gov.au/anrdl/resources/codeList/codeList20120313.xml#CI_RoleCode";"distributor";42
"http://data.daff.gov.au/anrdl/resources/codeList/codeList20120313.xml#CI_RoleCode";"originator";5
"http://data.daff.gov.au/anrdl/resources/codeList/codeList20120313.xml#CI_RoleCode";"pointOfContact";18
"http://data.daff.gov.au/anrdl/resources/codeList/codeList20120313.xml#CI_RoleCode";"principalInvestigator";5
"http://data.daff.gov.au/anrdl/resources/codeList/codeList20120313.xml#CI_RoleCode";"processor";2
"http://data.daff.gov.au/anrdl/resources/codeList/codeList20120313.xml#CI_RoleCode";"publisher";47
"http://data.daff.gov.au/anrdl/resources/codeList/codeList20120313.xml#CI_RoleCode";"resourceProvider";2
"http://mdtranslator.adiwg.org/api/codelists?format=xml#CI_RoleCode";"author";2
"http://mdtranslator.adiwg.org/api/codelists?format=xml#CI_RoleCode";"collaborator";6
"http://mdtranslator.adiwg.org/api/codelists?format=xml#CI_RoleCode";"dataDistributor";1
"http://mdtranslator.adiwg.org/api/codelists?format=xml#CI_RoleCode";"distributor";2
"http://mdtranslator.adiwg.org/api/codelists?format=xml#CI_RoleCode";"funder";6
"http://mdtranslator.adiwg.org/api/codelists?format=xml#CI_RoleCode";"originator";4
"http://mdtranslator.adiwg.org/api/codelists?format=xml#CI_RoleCode";"owner";2
"http://mdtranslator.adiwg.org/api/codelists?format=xml#CI_RoleCode";"pointOfContact";3
"http://mdtranslator.adiwg.org/api/codelists?format=xml#CI_RoleCode";"principalInvestigator";2
"http://mdtranslator.adiwg.org/api/codelists?format=xml#CI_RoleCode";"publisher";1
"http://nap.geogratis.gc.ca/metadata/register/napMetadataRegister.xml#IC_90";"NONE";29
"http://nap.geogratis.gc.ca/metadata/register/napMetadataRegister.xml#IC_90";"RI_408";5
"http://nap.geogratis.gc.ca/metadata/register/napMetadataRegister.xml#IC_90";"RI_409";22
"http://nap.geogratis.gc.ca/metadata/register/napMetadataRegister.xml#IC_90";"RI_412";6
"http://nap.geogratis.gc.ca/metadata/register/napMetadataRegister.xml#IC_90";"RI_414";23
"http://nap.geogratis.gc.ca/metadata/register/napMetadataRegister.xml#IC_90";"RI_418";1
"http://schemas.opengis.net/iso/19139/20070417/resources/Codelist/gmxCodelists.xml#CI_RoleCode";"owner";1
"http://schemas.opengis.net/iso/19139/20070417/resources/Codelist/gmxCodelists.xml#CI_RoleCode";"pointOfContact";4
"http://standards.iso.org/iso/19139/resources/codelist/gmxCodelists.xml";"distributor";4411
"http://standards.iso.org/iso/19139/resources/codelist/gmxCodelists.xml";"originator";4427
"http://standards.iso.org/iso/19139/resources/codelist/gmxCodelists.xml";"pointOfContact";4412
"http://standards.iso.org/iso/19139/resources/codelist/gmxCodelists.xml#CI_RoleCode";"custodian";57
