"id","age","min","num_lineage_tokens","num_lineage_elements","num_quality_tokens","num_quality_elements"
140275,"2011-05-01","""ISO""",,0,42,2
140282,"","""ISO""",419,1,,0
140314,"2014-07-01","""ISO""",69,1,,0
140335,"2014-06-01","""ISO""",,0,,0
140350,"2015-10-01","""FGDC""",,0,,0
140382,"2015-08-01","""FGDC""",,0,,0
140385,"2011-05-01","""FGDC""",610,10,414,10
140402,"","""ISO""",99,1,,0
140404,"2008-04-01","""FGDC""",5360,72,20592,72
140406,"2012-12-01","""FGDC""",,0,18,1
140429,"2010-12-01","""FGDC""",7,7,29,7
140442,"2015-07-01","""ISO""",,0,70,2
140483,"","""ISO""",1,1,,0
140490,"","""ISO""",1,1,,0
140498,"2014-08-01","""ISO""",121,1,,0
140505,"2012-09-01","""ISO""",,0,,0
140547,"2008-10-01","""FGDC""",550,10,308,10
140552,"","""ISO""",68,1,,0
140559,"2012-01-01","""FGDC""",170,20,176,20
140573,"2011-04-01","""ISO""",,0,,0
140576,"2007-08-01","""FGDC""",26,13,,0
140582,"2015-05-01","""FGDC""",,0,,0
140607,"2011-07-01","""FGDC""",146,2,244,2
140614,"2007-01-01","""FGDC""",100,20,150,20
140649,"2011-01-01","""FGDC""",685,10,526,10
140651,"2015-08-01","""ISO""",53,1,,0
140664,"2012-02-01","""FGDC""",1472,4,263,4
140672,"2006-05-01","""FGDC""",6840,35,896,35
140684,"2014-12-01","""ISO""",56,1,,0
140698,"2006-06-01","""FGDC""",1905,3,167,3
140704,"2013-10-01","""FGDC""",170,2,18,2
140705,"2011-04-01","""FGDC""",1030,15,567,15
140711,"2015-06-01","""ISO""",,0,490,2
140716,"2009-06-01","""FGDC""",10,4,160,4
140722,"2008-10-01","""FGDC""",64,4,142,4
140732,"2015-08-01","""ISO""",6,1,,0
140736,"2014-01-01","""FGDC""",370,5,202,5
140744,"2015-09-01","""FGDC""",52,4,4,4
140748,"2015-10-01","""FGDC""",1887,3,167,3
140755,"2014-04-01","""FGDC""",135,3,119,3
140777,"2011-07-01","""FGDC""",146,2,256,2
140785,"2011-11-01","""FGDC""",352,4,98,4
140786,"2009-12-01","""ISO""",,0,38,2
140807,"2015-10-01","""FGDC""",1887,3,167,3
140832,"2005-10-01","""FGDC""",1905,3,167,3
140835,"2004-11-01","""FGDC""",1224,6,158,6
140855,"2012-03-01","""FGDC""",70,5,21,5
140856,"2015-04-01","""ISO""",18,1,54,1
140910,"2015-09-01","""ISO""",121,4,,0
140925,"2007-08-01","""FGDC""",372,16,276,16
140932,"2014-03-01","""ISO""",,0,,0
140941,"2014-12-01","""FGDC""",900,10,916,10
141010,"2015-02-01","""FGDC""",1435,10,354,10
141015,"2014-06-01","""ISO""",12,1,10,1
141020,"2015-05-01","""FGDC""",1520,35,4445,35
141030,"2012-02-01","""FGDC""",1315,5,21,5
141055,"2015-04-01","""ISO""",18,1,54,1
141061,"2015-06-01","""FGDC""",1212,16,516,16
141076,"2003-07-01","""FGDC""",12,6,72,6
141080,"2011-01-01","""FGDC""",7676,16,1308,16
141089,"2015-10-01","""FGDC""",2905,5,158,5
141097,"2010-04-01","""FGDC""",332,24,930,24
141105,"2014-04-01","""FGDC""",1040,10,184,10
141113,"2014-03-01","""FGDC""",310,5,127,5
141114,"2015-10-01","""FGDC""",1887,3,167,3
141120,"2009-05-01","""FGDC""",7,2,16,2
141135,"1998-07-01","""ISO""",,0,16,2
141164,"2006-12-01","""ISO""",,0,,0
141171,"2011-09-01","""FGDC""",636,9,339,9
141203,"1989-09-01","""FGDC""",1887,3,167,3
141214,"2014-05-01","""ISO""",12,2,,0
141224,"2007-01-01","""FGDC""",2772,60,1650,60
141249,"","""ISO""",29,1,,0
141254,"2009-06-01","""FGDC""",144,4,252,4
141255,"1995-11-01","""FGDC""",1887,3,167,3
141256,"2012-09-01","""FGDC""",,0,,0
141257,"2011-08-01","""ISO""",,0,76,2
141286,"2015-08-01","""FGDC""",120,12,72,12
141296,"2003-10-01","""FGDC""",1235,10,196,10
141307,"","""ISO""",243,1,,0
141311,"2011-01-01","""FGDC""",610,10,380,10
141313,"2011-10-01","""FGDC""",1295,10,174,10
141314,"2011-12-01","""FGDC""",75,5,21,5
141321,"2012-02-01","""FGDC""",70,5,21,5
141331,"2008-01-01","""FGDC""",4,2,,0
141333,"2014-12-01","""ISO""",,0,26,1
141339,"2015-02-01","""FGDC""",2064,3,167,3
141345,"","""ISO""",35,1,,0
141346,"2014-07-01","""FGDC""",2265,10,294,10
141363,"2004-11-01","""FGDC""",1136,68,1513,68
141377,"2015-03-01","""ISO""",41,1,22,1
141378,"2015-08-01","""ISO""",41,1,,0
141381,"2009-11-01","""FGDC""",144,4,247,4
141383,"2013-05-01","""ISO""",,0,,0
141393,"2005-04-01","""FGDC""",132,6,21,6
141401,"","""ISO""",1,1,,0
141418,"2015-10-01","""FGDC""",2905,5,158,5
141419,"2009-05-01","""FGDC""",,0,,0
141445,"2014-08-01","""ISO""",76,2,,0
141451,"2014-06-01","""FGDC""",1887,3,167,3
141454,"","""ISO""",1,1,,0
141465,"2011-07-01","""FGDC""",146,2,244,2
141473,"2012-03-01","""ISO""",,0,30,2
141500,"2014-05-01","""ISO""",13,1,,0
141531,"2011-07-01","""FGDC""",2097,3,167,3
141535,"2003-10-01","""FGDC""",1265,5,98,5
141542,"2012-01-01","""FGDC""",30,5,21,5
141548,"2014-09-01","""ISO""",86,1,,0
141553,"2008-04-01","""FGDC""",,0,,0
141587,"2007-08-01","""FGDC""",26,13,,0
141590,"2013-11-01","""ISO""",41,1,22,1
141599,"2013-11-01","""ISO""",12,1,10,1
141605,"2015-02-01","""FGDC""",44,16,168,16
141618,"2012-06-01","""FGDC""",3315,35,1925,35
141623,"","""ISO""",5,1,,0
141635,"2012-03-01","""FGDC""",1887,3,167,3
141639,"2015-07-01","""ISO""",116,1,,0
141640,"2015-05-01","""ISO""",18,1,54,1
141644,"2014-09-01","""ISO""",62,1,,0
141647,"2014-03-01","""FGDC""",,0,,0
141709,"2006-11-01","""FGDC""",1905,3,167,3
141729,"2011-04-01","""ISO""",,0,384,2
141754,"2006-11-01","""FGDC""",2,1,,0
141771,"2008-08-01","""FGDC""",620,10,388,10
141777,"2015-10-01","""FGDC""",2905,5,158,5
141790,"2009-08-01","""FGDC""",102,6,51,6
141794,"2010-08-01","""FGDC""",58,2,2,2
141813,"2010-10-01","""FGDC""",1887,3,167,3
141829,"2014-04-01","""ISO""",18,1,54,1
141832,"2010-09-01","""FGDC""",544,20,450,20
141872,"2014-01-01","""ISO""",,0,,0
141873,"2015-03-01","""ISO""",54,1,,0
141876,"2015-10-01","""FGDC""",2905,5,158,5
141914,"2007-02-01","""FGDC""",3249,3,62,3
141917,"2015-10-01","""FGDC""",2905,5,158,5
141921,"2014-03-01","""FGDC""",1887,3,167,3
141947,"2014-12-01","""FGDC""",1145,10,802,10
141958,"2012-09-01","""FGDC""",,0,,0
141964,"2013-09-01","""ISO""",,0,48,2
141983,"2012-10-01","""FGDC""",,0,,0
141990,"2014-09-01","""FGDC""",,0,,0
142002,"2015-07-01","""ISO""",3,1,,0
142013,"1998-03-01","""FGDC""",525,5,169,5
142040,"2012-06-01","""ISO""",,0,44,2
142047,"2008-08-01","""FGDC""",72,6,31,6
142050,"2004-09-01","""FGDC""",1905,3,167,3
142055,"2012-09-01","""ISO""",,0,,0
142070,"2004-01-01","""FGDC""",568,16,56,16
142086,"2012-04-01","""ISO""",27,1,,0
142091,"2004-05-01","""FGDC""",485,15,384,15
142106,"2012-09-01","""FGDC""",,0,,0
142110,"2015-10-01","""FGDC""",,0,,0
142115,"","""ISO""",1,1,,0
142151,"","""ISO""",1,1,2,1
142157,"2015-07-01","""FGDC""",4,4,4,4
142161,"2014-12-01","""FGDC""",935,10,758,10
142194,"2004-05-01","""FGDC""",1905,3,167,3
142199,"2014-12-01","""FGDC""",,0,,0
142200,"2011-01-01","""FGDC""",660,10,532,10
142246,"2014-12-01","""FGDC""",935,10,758,10
142264,"2015-08-01","""FGDC""",16,12,12,12
142279,"2014-11-01","""ISO""",2,1,,0
142293,"2009-05-01","""FGDC""",2085,3,167,3
142307,"2014-08-01","""FGDC""",350,5,908,5
142361,"2005-10-01","""FGDC""",1000,8,408,8
142363,"2011-07-01","""FGDC""",146,2,244,2
142374,"2015-10-01","""FGDC""",2905,5,158,5
142382,"2005-07-01","""FGDC""",180,10,68,10
142384,"2010-06-01","""FGDC""",12,6,,0
142410,"2015-10-01","""FGDC""",2905,5,158,5
142464,"2014-09-01","""ISO""",74,1,,0
142472,"2015-08-01","""FGDC""",60,8,8,8
142532,"2009-07-01","""ISO""",,0,190,2
142542,"2013-06-01","""ISO""",41,1,22,1
142552,"2010-04-01","""FGDC""",324,20,775,20
142567,"2014-06-01","""ISO""",3,1,,0
142589,"2015-06-01","""ISO""",42,1,,0
142597,"2011-06-01","""FGDC""",610,10,396,10
142618,"1998-07-01","""FGDC""",650,15,1053,15
142623,"2007-08-01","""FGDC""",10,5,,0
142642,"","""ISO""",33,1,,0
142670,"2009-11-01","""FGDC""",,0,,0
142675,"2015-02-01","""FGDC""",984,6,232,6
142684,"2012-10-01","""ISO""",,0,342,2
142685,"2013-02-01","""FGDC""",1887,3,167,3
142692,"2008-12-01","""FGDC""",1887,3,167,3
142707,"2012-02-01","""FGDC""",610,10,564,10
142724,"2009-10-01","""ISO""",,0,190,2
142743,"2012-01-01","""FGDC""",595,5,21,5
142744,"2010-02-01","""ISO""",,0,386,2
142748,"2013-10-01","""FGDC""",1887,3,167,3
142762,"2010-04-01","""FGDC""",316,16,620,16
142764,"2013-06-01","""ISO""",41,1,22,1
142785,"2014-09-01","""ISO""",35,1,,0
142788,"2009-08-01","""FGDC""",76,4,103,4
142818,"9999-01-01","""ISO""",,0,,0
142823,"2012-08-01","""ISO""",,0,126,2
142850,"2004-02-01","""FGDC""",1905,3,167,3
142874,"2014-03-01","""ISO""",121,1,,0
142881,"2010-04-01","""ISO""",,0,170,2
142896,"","""ISO""",1,1,,0
142918,"2015-08-01","""FGDC""",108,16,16,16
142933,"2010-08-01","""ISO""",,0,24,2
142978,"","""ISO""",22,1,,0
142982,"2015-10-01","""FGDC""",2905,5,158,5
142983,"9999-01-01","""ISO""",,0,,0
142988,"2015-07-01","""FGDC""",1212,8,186,8
143006,"2014-10-01","""ISO""",214,1,16,1
143029,"2015-10-01","""FGDC""",2905,5,158,5
143047,"2002-03-01","""FGDC""",76,2,218,2
143052,"2010-01-01","""FGDC""",350,5,891,5
143091,"2015-10-01","""FGDC""",2905,5,158,5
143099,"2014-11-01","""FGDC""",6,3,6,3
