"id","age","protocol","num_lineage_tokens","num_lineage_elements"
350164,"2007-01-01","""FGDC""",26,13
272563,"2007-01-01","""FGDC""",26,13
687675,"2013-01-01","""FGDC""",485,13
289771,"2007-01-01","""FGDC""",26,13
630605,"2015-01-01","""FGDC""",646,13
376673,"2007-01-01","""FGDC""",26,13
534986,"2007-01-01","""FGDC""",26,13
597178,"2007-01-01","""FGDC""",26,13
403103,"2007-01-01","""FGDC""",26,13
287734,"2007-01-01","""FGDC""",26,13
520240,"2007-01-01","""FGDC""",26,13
327874,"2010-01-01","""FGDC""",26,13
809414,"2015-01-01","""FGDC""",2311,13
258599,"2010-01-01","""FGDC""",26,13
801943,"2015-01-01","""FGDC""",1487,13
672782,"2015-01-01","""FGDC""",2311,13
400799,"2007-01-01","""FGDC""",26,13
403390,"2007-01-01","""FGDC""",26,13
710069,"2010-01-01","""FGDC""",26,13
513314,"2013-01-01","""FGDC""",485,13
615186,"2007-01-01","""FGDC""",26,13
785568,"2007-01-01","""FGDC""",26,13
757363,"2007-01-01","""FGDC""",26,13
190719,"2010-01-01","""FGDC""",26,13
368336,"2009-01-01","""FGDC""",54,13
366673,"2005-01-01","""FGDC""",503,13
593414,"2009-01-01","""FGDC""",304,13
526304,"2007-01-01","""FGDC""",26,13
776300,"2007-01-01","""FGDC""",26,13
455876,"2007-01-01","""FGDC""",26,13
524566,"2006-01-01","""FGDC""",26,13
163344,"2010-01-01","""FGDC""",26,13
696702,"2007-01-01","""FGDC""",26,13
140576,"2007-01-01","""FGDC""",26,13
751904,"1998-01-01","""FGDC""",108,13
141587,"2007-01-01","""FGDC""",26,13
690200,"2007-01-01","""FGDC""",26,13
701312,"1998-01-01","""FGDC""",108,13
336531,"2015-01-01","""FGDC""",306,13
643354,"2010-01-01","""FGDC""",26,13
741684,"2005-01-01","""FGDC""",744,12
755337,"2007-01-01","""FGDC""",654,12
620859,"2012-01-01","""FGDC""",396,12
565168,"2004-01-01","""FGDC""",1478,12
315527,"2000-01-01","""FGDC""",306,12
468720,"2007-01-01","""FGDC""",455,12
737300,"2008-01-01","""FGDC""",832,12
152043,"2011-01-01","""FGDC""",514,12
279609,"2010-01-01","""FGDC""",95,12
501973,"2009-01-01","""FGDC""",706,12
435476,"2010-01-01","""FGDC""",2912,12
192733,"2010-01-01","""FGDC""",24,12
182586,"2012-01-01","""FGDC""",396,12
680759,"2005-01-01","""FGDC""",349,12
307942,"2007-01-01","""FGDC""",24,12
274943,"2010-01-01","""FGDC""",409,12
513355,"2003-01-01","""FGDC""",828,12
575025,"2007-01-01","""FGDC""",24,12
800165,"2009-01-01","""FGDC""",706,12
302553,"2007-01-01","""FGDC""",24,12
463248,"2006-01-01","""FGDC""",24,12
237656,"2007-01-01","""FGDC""",24,12
351283,"2010-01-01","""FGDC""",409,12
764314,"2009-01-01","""FGDC""",706,12
552536,"2007-01-01","""FGDC""",502,12
298920,"2010-01-01","""FGDC""",24,12
632134,"2010-01-01","""FGDC""",661,12
618171,"2005-01-01","""FGDC""",734,12
709728,"2012-01-01","""FGDC""",396,12
424721,"2007-01-01","""FGDC""",24,12
568074,"2010-01-01","""FGDC""",95,12
319046,"2010-01-01","""FGDC""",24,12
156816,"2007-01-01","""FGDC""",24,12
200474,"2009-01-01","""FGDC""",706,12
512449,"2008-01-01","""FGDC""",897,12
172603,"2003-01-01","""FGDC""",648,12
723502,"2007-01-01","""FGDC""",24,12
727246,"2010-01-01","""FGDC""",1109,12
481576,"2010-01-01","""FGDC""",24,12
310569,"2010-01-01","""FGDC""",24,12
726904,"2009-01-01","""FGDC""",706,12
797346,"2007-01-01","""FGDC""",24,12
600811,"2010-01-01","""FGDC""",2912,12
423812,"2012-01-01","""FGDC""",24,12
576706,"2007-01-01","""FGDC""",24,12
494418,"2000-01-01","""FGDC""",405,12
577794,"2012-01-01","""FGDC""",396,12
326334,"2010-01-01","""FGDC""",95,12
174908,"2010-01-01","""FGDC""",661,12
242504,"2010-01-01","""FGDC""",95,12
508728,"2009-01-01","""FGDC""",52,12
510993,"2010-01-01","""FGDC""",24,12
198743,"2011-01-01","""FGDC""",315,12
528504,"2008-01-01","""FGDC""",613,12
784651,"2007-01-01","""FGDC""",24,12
281730,"2009-01-01","""FGDC""",706,12
809919,"2012-01-01","""FGDC""",396,12
500208,"2009-01-01","""FGDC""",706,12
301878,"2000-01-01","""FGDC""",300,12
342423,"2007-01-01","""FGDC""",1054,12
411386,"2010-01-01","""FGDC""",656,12
730693,"2013-01-01","""FGDC""",316,11
472245,"2008-01-01","""FGDC""",647,11
772918,"2011-01-01","""FGDC""",93,11
806474,"2010-01-01","""FGDC""",22,11
484457,"2004-01-01","""FGDC""",530,11
524701,"2007-01-01","""FGDC""",22,11
493276,"2005-01-01","""FGDC""",619,11
728184,"2000-01-01","""FGDC""",295,11
520557,"2014-01-01","""FGDC""",385,11
352774,"2010-01-01","""FGDC""",93,11
362611,"2005-01-01","""FGDC""",623,11
551798,"2010-01-01","""FGDC""",93,11
740208,"2015-01-01","""FGDC""",122,11
784803,"2011-01-01","""FGDC""",22,11
247901,"2010-01-01","""FGDC""",22,11
482573,"2006-01-01","""FGDC""",466,11
287045,"2006-01-01","""FGDC""",336,11
511265,"2010-01-01","""FGDC""",664,11
312465,"2015-01-01","""FGDC""",122,11
684060,"2008-01-01","""FGDC""",637,11
193139,"2013-01-01","""FGDC""",512,11
291602,"2008-01-01","""FGDC""",22,11
176363,"2011-01-01","""FGDC""",47,11
155811,"2010-01-01","""FGDC""",22,11
435611,"2006-01-01","""FGDC""",695,11
328701,"2006-01-01","""FGDC""",694,11
750823,"2014-01-01","""FGDC""",1787,11
144954,"2012-01-01","""FGDC""",310,11
761647,"2007-01-01","""FGDC""",500,11
670291,"2010-01-01","""FGDC""",93,11
810385,"2011-01-01","""FGDC""",250,11
783841,"2005-01-01","""FGDC""",623,11
519459,"2013-01-01","""FGDC""",596,11
474619,"2015-01-01","""FGDC""",122,11
750305,"2010-01-01","""FGDC""",22,11
466265,"2000-01-01","""FGDC""",289,11
765867,"2005-01-01","""FGDC""",755,11
456199,"2015-01-01","""FGDC""",122,11
656650,"2014-01-01","""FGDC""",1759,11
263541,"2005-01-01","""FGDC""",787,11
